uniqID,pair,j1,j2,class,quant_con,qual_con
AT1G20640-AT1G763502-3-ALTA,AT1G20640-AT1G76350,2-3,2-3,-ALTA,N,N
AT1G20640-AT1G763502-3+IR,AT1G20640-AT1G76350,2-3,2-3,+IR,N,N
AT1G20640-AT1G763503-4+IR,AT1G20640-AT1G76350,3-4,3-4,+IR,N,N
AT1G20880-AT1G764601-2+ALTA,AT1G20880-AT1G76460,1-2,1-2,+ALTA,N,N
AT1G20880-AT1G764601-2+IR,AT1G20880-AT1G76460,1-2,1-2,+IR,N,Y
AT1G20880-AT1G764602-3-ALTA,AT1G20880-AT1G76460,2-3,2-3,-ALTA,N,N
AT1G20880-AT1G764602-3+IR,AT1G20880-AT1G76460,2-3,2-3,+IR,N,N
AT1G20950-AT1G765501-2+IR,AT1G20950-AT1G76550,1-2,1-2,+IR,N,N
AT1G20950-AT1G7655014-15+IR,AT1G20950-AT1G76550,14-15,14-15,+IR,N,N
AT1G20950-AT1G7655016-17+IR,AT1G20950-AT1G76550,16-17,16-17,+IR,N,Y
AT1G20950-AT1G765506-7+IR,AT1G20950-AT1G76550,6-7,6-7,+IR,N,N
AT1G20980-AT1G765801-2+ALTA,AT1G20980-AT1G76580,1-2,3-4,+ALTA,N,N
AT1G20980-AT1G765801-2+IR,AT1G20980-AT1G76580,1-2,3-4,+IR,N,N
AT1G20980-AT1G765809-10+IR,AT1G20980-AT1G76580,9-10,11-12,+IR,N,N
AT1G21000-AT1G765902-3+IR,AT1G21000-AT1G76590,2-3,2-3,+IR,N,Y
AT1G21000-AT1G765903-4+IR,AT1G21000-AT1G76590,3-4,3-4,+IR,N,Y
AT1G21060-AT1G766208-9+IR,AT1G21060-AT1G76620,8-9,8-9,+IR,Y,Y
AT1G21060-AT1G766209-10+IR,AT1G21060-AT1G76620,9-10,9-10,+IR,N,N
AT1G21070-AT1G766703-4+IR,AT1G21070-AT1G76670,3-4,3-4,+IR,N,Y
AT1G21080-AT1G767001-2+IR,AT1G21080-AT1G76700,1-2,1-2,+IR,N,N
AT1G21080-AT1G767002-3+IR,AT1G21080-AT1G76700,2-3,2-3,+IR,Y,Y
AT1G21080-AT1G767006-7+IR,AT1G21080-AT1G76700,6-7,6-7,+IR,Y,Y
AT1G21080-AT1G767007-8+IR,AT1G21080-AT1G76700,7-8,7-8,+IR,Y,Y
AT1G21380-AT1G769702-3+IR,AT1G21380-AT1G76970,2-3,2-3,+IR,N,Y
AT1G21380-AT1G769703-4+IR,AT1G21380-AT1G76970,3-4,3-4,+IR,N,N
AT1G21380-AT1G769704-5-ALTA,AT1G21380-AT1G76970,4-5,4-5,-ALTA,N,N
AT1G21380-AT1G769704-5+IR,AT1G21380-AT1G76970,4-5,4-5,+IR,N,Y
AT1G21380-AT1G769705-6+IR,AT1G21380-AT1G76970,5-6,5-6,+IR,N,Y
AT1G21380-AT1G769706-7+IR,AT1G21380-AT1G76970,6-7,6-7,+IR,N,Y
AT1G21380-AT1G769707-8+IR,AT1G21380-AT1G76970,7-8,7-8,+IR,N,N
AT1G21380-AT1G769708-9+IR,AT1G21380-AT1G76970,8-9,8-9,+IR,N,N
AT1G21380-AT1G769709-10+IR,AT1G21380-AT1G76970,9-10,9-10,+IR,N,Y
AT1G21410-AT1G770002-3+ALTA,AT1G21410-AT1G77000,2-3,1-2,+ALTA,N,N
AT1G21410-AT1G770002-3+IR,AT1G21410-AT1G77000,2-3,1-2,+IR,N,Y
AT1G21410-AT1G770003-4+IR,AT1G21410-AT1G77000,3-4,2-3,+IR,N,N
AT1G21410-AT1G770004-5+IR,AT1G21410-AT1G77000,4-5,3-4,+IR,N,N
AT1G21440-AT1G770601-2+IR,AT1G21440-AT1G77060,1-2,1-2,+IR,N,N
AT1G21440-AT1G770602-3+IR,AT1G21440-AT1G77060,2-3,2-3,+IR,N,Y
AT1G21440-AT1G770606-7+IR,AT1G21440-AT1G77060,6-7,5-6,+IR,N,N
AT1G21590-AT1G772801-2+IR,AT1G21590-AT1G77280,1-2,2-3,+IR,N,N
AT1G21590-AT1G772802-3+IR,AT1G21590-AT1G77280,2-3,3-4,+IR,N,N
AT1G21590-AT1G772804-5+IR,AT1G21590-AT1G77280,4-5,5-6,+IR,N,N
AT1G21590-AT1G772805-6+ALTA,AT1G21590-AT1G77280,5-6,6-7,+ALTA,N,N
AT1G21590-AT1G772805-6+IR,AT1G21590-AT1G77280,5-6,6-7,+IR,N,N
AT1G21590-AT1G772806-7+IR,AT1G21590-AT1G77280,6-7,7-8,+IR,N,N
AT1G21590-AT1G772807-8+IR,AT1G21590-AT1G77280,7-8,8-9,+IR,N,N
AT1G21590-AT1G772808-9-ALTD,AT1G21590-AT1G77280,8-9,9-10,-ALTD,N,N
AT1G21590-AT1G772808-9+ALTA,AT1G21590-AT1G77280,8-9,9-10,+ALTA,N,N
AT1G21590-AT1G772808-9+IR,AT1G21590-AT1G77280,8-9,9-10,+IR,N,N
AT1G21590-AT1G772809-10+IR,AT1G21590-AT1G77280,9-10,10-11,+IR,N,N
AT1G21720-AT1G774402-3+IR,AT1G21720-AT1G77440,2-3,2-3,+IR,N,N
AT1G21720-AT1G774404-5+IR,AT1G21720-AT1G77440,4-5,4-5,+IR,N,N
AT1G21720-AT1G774405-6+IR,AT1G21720-AT1G77440,5-6,5-6,+IR,N,Y
AT1G21740-AT1G775001-2+IR,AT1G21740-AT1G77500,1-2,1-2,+IR,N,N
AT1G21750-AT1G775105-6+IR,AT1G21750-AT1G77510,5-6,5-6,+IR,N,Y
AT1G21750-AT1G775107-8+IR,AT1G21750-AT1G77510,7-8,8-9,+IR,N,N
AT1G21750-AT1G775108-9+IR,AT1G21750-AT1G77510,8-9,9-10,+IR,Y,Y
AT1G21810-AT1G775801-2+IR,AT1G21810-AT1G77580,1-2,3-4,+IR,N,N
AT1G21810-AT1G775802-3-ALTA,AT1G21810-AT1G77580,2-3,4-5,-ALTA,N,N
AT1G21810-AT1G775802-3+IR,AT1G21810-AT1G77580,2-3,4-5,+IR,N,N
AT1G21920-AT1G776601-2-ALTD,AT1G21920-AT1G77660,1-2,1-2,-ALTD,N,N
AT1G21920-AT1G776601-2+IR,AT1G21920-AT1G77660,1-2,1-2,+IR,Y,Y
AT1G21920-AT1G776602-3+IR,AT1G21920-AT1G77660,2-3,2-3,+IR,N,N
AT1G21980-AT1G777406-7+IR,AT1G21980-AT1G77740,6-7,7-8,+IR,N,N
AT1G21980-AT1G777407-8+IR,AT1G21980-AT1G77740,7-8,8-9,+IR,Y,Y
AT1G22050-AT1G778701-2+IR,AT1G22050-AT1G77870,1-2,1-2,+IR,N,N
AT1G22070-AT1G779207-8+IR,AT1G22070-AT1G77920,7-8,7-8,+IR,N,N
AT1G22070-AT1G779208-9+IR,AT1G22070-AT1G77920,8-9,8-9,+IR,N,N
AT1G22200-AT1G3605012-13+IR,AT1G22200-AT1G36050,12-13,12-13,+IR,Y,Y
AT1G22200-AT1G360505-6+IR,AT1G22200-AT1G36050,5-6,5-6,+IR,N,N
AT1G22330-AT1G782601-2+IR,AT1G22330-AT1G78260,1-2,1-2,+IR,N,N
AT1G22330-AT1G782602-3+IR,AT1G22330-AT1G78260,2-3,2-3,+IR,Y,Y
AT1G22490-AT1G722101-2+IR,AT1G22490-AT1G72210,1-2,1-2,+IR,N,Y
AT1G22780-AT1G340302-3+IR,AT1G22780-AT1G34030,2-3,2-3,+IR,Y,Y
AT1G22780-AT1G340303-4+IR,AT1G22780-AT1G34030,3-4,3-4,+IR,N,Y
AT1G22840-AT4G100401-2+IR,AT1G22840-AT4G10040,1-2,1-2,+IR,N,Y
AT1G22840-AT4G100402-3-ALTA,AT1G22840-AT4G10040,2-3,2-3,-ALTA,N,N
AT1G22840-AT4G100402-3+IR,AT1G22840-AT4G10040,2-3,2-3,+IR,N,N
AT1G23030-AT1G710201-2+IR,AT1G23030-AT1G71020,1-2,1-2,+IR,N,Y
AT1G23030-AT1G710202-3+IR,AT1G23030-AT1G71020,2-3,3-4,+IR,Y,Y
AT1G23190-AT1G707301-2-ALTA,AT1G23190-AT1G70730,1-2,2-3,-ALTA,N,N
AT1G23190-AT1G7073010-11+IR,AT1G23190-AT1G70730,10-11,11-12,+IR,N,Y
AT1G23190-AT1G7073011-12+IR,AT1G23190-AT1G70730,11-12,12-13,+IR,N,N
AT1G23190-AT1G7073012-13+IR,AT1G23190-AT1G70730,12-13,13-14,+IR,N,N
AT1G23190-AT1G7073013-14+IR,AT1G23190-AT1G70730,13-14,14-15,+IR,N,N
AT1G23190-AT1G707304-5-ALTD,AT1G23190-AT1G70730,4-5,5-6,-ALTD,N,N
AT1G23260-AT1G706602-3-ALTD,AT1G23260-AT1G70660,2-3,2-3,-ALTD,N,N
AT1G23260-AT1G706602-3+IR,AT1G23260-AT1G70660,2-3,2-3,+IR,N,Y
AT1G23260-AT1G706603-4+IR,AT1G23260-AT1G70660,3-4,3-4,+IR,N,N
AT1G23340-AT1G705505-6+ALTA,AT1G23340-AT1G70550,5-6,4-5,+ALTA,N,N
AT1G23340-AT1G705505-6+IR,AT1G23340-AT1G70550,5-6,4-5,+IR,Y,Y
AT1G23340-AT1G705506-7+IR,AT1G23340-AT1G70550,6-7,5-6,+IR,N,Y
AT1G23380-AT1G705103-4+IR,AT1G23380-AT1G70510,3-4,3-4,+IR,N,N
AT1G23460-AT1G705007-8+IR,AT1G23460-AT1G70500,7-8,7-8,+IR,N,N
AT1G23790-AT1G703403-4+IR,AT1G23790-AT1G70340,3-4,3-4,+IR,N,N
AT1G23820-AT1G703102-3+IR,AT1G23820-AT1G70310,2-3,2-3,+IR,N,N
AT1G23820-AT1G703103-4+ALTA,AT1G23820-AT1G70310,3-4,3-4,+ALTA,N,N
AT1G23820-AT1G703103-4+IR,AT1G23820-AT1G70310,3-4,3-4,+IR,N,Y
AT1G23820-AT1G703104-5+IR,AT1G23820-AT1G70310,4-5,4-5,+IR,N,N
AT1G23820-AT1G703105-6+IR,AT1G23820-AT1G70310,5-6,5-6,+IR,N,Y
AT1G23820-AT1G703107-8+IR,AT1G23820-AT1G70310,7-8,6-7,+IR,N,Y
AT1G23820-AT1G703108-9+IR,AT1G23820-AT1G70310,8-9,7-8,+IR,N,N
AT1G24150-AT1G701401-2+IR,AT1G24150-AT1G70140,1-2,1-2,+IR,N,N
AT1G24180-AT1G599003-4+ALTD,AT1G24180-AT1G59900,3-4,3-4,+ALTD,N,N
AT1G24180-AT1G599003-4+IR,AT1G24180-AT1G59900,3-4,3-4,+IR,N,N
AT1G24180-AT1G599006-7+IR,AT1G24180-AT1G59900,6-7,5-6,+IR,N,N
AT1G24190-AT1G7006017-18+IR,AT1G24190-AT1G70060,17-18,17-18,+IR,N,N
AT1G24190-AT1G7006018-19+IR,AT1G24190-AT1G70060,18-19,18-19,+IR,N,N
AT1G24190-AT1G7006019-20+IR,AT1G24190-AT1G70060,19-20,19-20,+IR,N,N
AT1G24190-AT1G700603-4-ALTA,AT1G24190-AT1G70060,3-4,3-4,-ALTA,N,N
AT1G24190-AT1G700605-6+IR,AT1G24190-AT1G70060,5-6,5-6,+IR,N,N
AT1G24764-AT1G680601-2+IR,AT1G24764-AT1G68060,1-2,1-2,+IR,N,N
AT1G24764-AT1G680602-3+IR,AT1G24764-AT1G68060,2-3,2-3,+IR,N,N
AT1G24764-AT1G680607-8-ALTD,AT1G24764-AT1G68060,7-8,7-8,-ALTD,N,N
AT1G24764-AT1G680607-8+IR,AT1G24764-AT1G68060,7-8,7-8,+IR,N,N
AT1G25250-AT1G681301-2-ALTA,AT1G25250-AT1G68130,1-2,1-2,-ALTA,N,N
AT1G25250-AT1G681302-3+IR,AT1G25250-AT1G68130,2-3,2-3,+IR,N,N
AT1G25480-AT1G686003-4+IR,AT1G25480-AT1G68600,3-4,3-4,+IR,N,Y
AT1G25480-AT1G686004-5-ALTD,AT1G25480-AT1G68600,4-5,4-5,-ALTD,N,N
AT1G25480-AT1G686004-5+IR,AT1G25480-AT1G68600,4-5,4-5,+IR,N,N
AT1G25480-AT1G686005-6+IR,AT1G25480-AT1G68600,5-6,5-6,+IR,N,Y
AT1G25520-AT1G6865011-12+IR,AT1G25520-AT1G68650,11-12,11-12,+IR,Y,Y
AT1G25520-AT1G686502-3+IR,AT1G25520-AT1G68650,2-3,2-3,+IR,N,N
AT1G25520-AT1G686508-9+IR,AT1G25520-AT1G68650,8-9,8-9,+IR,N,Y
AT1G25520-AT1G686509-10+IR,AT1G25520-AT1G68650,9-10,9-10,+IR,Y,Y
AT1G25550-AT1G686701-2-ALTA,AT1G25550-AT1G68670,1-2,1-2,-ALTA,N,N
AT1G25550-AT1G686701-2+IR,AT1G25550-AT1G68670,1-2,1-2,+IR,N,Y
AT1G25550-AT1G686702-3+IR,AT1G25550-AT1G68670,2-3,3-4,+IR,N,Y
AT1G26260-AT1G689201-2-ALTA,AT1G26260-AT1G68920,1-2,1-2,-ALTA,N,N
AT1G26260-AT1G689202-3+IR,AT1G26260-AT1G68920,2-3,2-3,+IR,N,N
AT1G26690-AT1G694601-2+IR,AT1G26690-AT1G69460,1-2,1-2,+IR,N,N
AT1G26690-AT1G694602-3+ALTA,AT1G26690-AT1G69460,2-3,2-3,+ALTA,N,N
AT1G26690-AT1G694602-3+IR,AT1G26690-AT1G69460,2-3,2-3,+IR,N,Y
AT1G26690-AT1G694603-4+IR,AT1G26690-AT1G69460,3-4,3-4,+IR,N,Y
AT1G26790-AT1G695702-3+IR,AT1G26790-AT1G69570,2-3,1-2,+IR,N,N
AT1G26880-AT3G289001-2-ALTA,AT1G26880-AT3G28900,1-2,1-2,-ALTA,N,N
AT1G26880-AT3G289001-2+IR,AT1G26880-AT3G28900,1-2,1-2,+IR,N,Y
AT1G26960-AT1G697802-3+IR,AT1G26960-AT1G69780,2-3,2-3,+IR,N,N
AT1G28110-AT2G335301-2+IR,AT1G28110-AT2G33530,1-2,1-2,+IR,N,N
AT1G28110-AT2G335303-4+IR,AT1G28110-AT2G33530,3-4,3-4,+IR,N,Y
AT1G28110-AT2G335308-9+IR,AT1G28110-AT2G33530,8-9,8-9,+IR,N,N
AT1G28110-AT2G335309-10+IR,AT1G28110-AT2G33530,9-10,9-10,+IR,N,Y
AT1G28330-AT2G338301-2-ALTA,AT1G28330-AT2G33830,1-2,1-2,-ALTA,N,N
AT1G28330-AT2G338301-2+IR,AT1G28330-AT2G33830,1-2,1-2,+IR,N,N
AT1G29030-AT2G3404014-15+IR,AT1G29030-AT2G34040,14-15,14-15,+IR,N,N
AT1G29030-AT2G340408-9+ALTD,AT1G29030-AT2G34040,8-9,8-9,+ALTD,N,N
AT1G29030-AT2G340408-9+IR,AT1G29030-AT2G34040,8-9,8-9,+IR,N,Y
AT1G29050-AT2G340701-2+IR,AT1G29050-AT2G34070,1-2,1-2,+IR,N,N
AT1G29050-AT2G340702-3+IR,AT1G29050-AT2G34070,2-3,2-3,+IR,N,Y
AT1G29050-AT2G340703-4+IR,AT1G29050-AT2G34070,3-4,3-4,+IR,Y,Y
AT1G29050-AT2G340704-5+IR,AT1G29050-AT2G34070,4-5,4-5,+IR,N,N
AT1G29170-AT2G341501-2-ALTA,AT1G29170-AT2G34150,1-2,1-2,-ALTA,N,N
AT1G29170-AT2G341507-8+IR,AT1G29170-AT2G34150,7-8,7-8,+IR,N,N
AT1G29250-AT2G341601-2+IR,AT1G29250-AT2G34160,1-2,1-2,+IR,N,Y
AT1G29250-AT2G341602-3+IR,AT1G29250-AT2G34160,2-3,2-3,+IR,N,N
AT1G29250-AT2G341603-4+IR,AT1G29250-AT2G34160,3-4,3-4,+IR,N,N
AT1G29890-AT2G344102-3+ALTD,AT1G29890-AT2G34410,2-3,2-3,+ALTD,N,N
AT1G29890-AT2G344105-6+IR,AT1G29890-AT2G34410,5-6,5-6,+IR,N,N
AT1G29980-AT2G345102-3+IR,AT1G29980-AT2G34510,2-3,2-3,+IR,N,N
AT1G30400-AT2G3466017-18+IR,AT1G30400-AT2G34660,17-18,16-17,+IR,N,N
AT1G30400-AT2G3466018-19+IR,AT1G30400-AT2G34660,18-19,17-18,+IR,N,N
AT1G30400-AT2G3466021-22+IR,AT1G30400-AT2G34660,21-22,20-21,+IR,N,N
AT1G30400-AT2G3466023-24+IR,AT1G30400-AT2G34660,23-24,22-23,+IR,N,N
AT1G30490-AT2G347101-2+ALTD,AT1G30490-AT2G34710,1-2,1-2,+ALTD,N,N
AT1G30490-AT2G347101-2+IR,AT1G30490-AT2G34710,1-2,1-2,+IR,N,Y
AT1G30490-AT2G3471011-12+IR,AT1G30490-AT2G34710,11-12,10-11,+IR,N,N
AT1G30490-AT2G3471013-14+IR,AT1G30490-AT2G34710,13-14,12-13,+IR,N,N
AT1G30490-AT2G3471014-15+IR,AT1G30490-AT2G34710,14-15,13-14,+IR,N,Y
AT1G30490-AT2G3471017-18+IR,AT1G30490-AT2G34710,17-18,16-17,+IR,Y,Y
AT1G30490-AT2G347107-8+IR,AT1G30490-AT2G34710,7-8,6-7,+IR,N,N
AT1G30490-AT2G347109-10+IR,AT1G30490-AT2G34710,9-10,8-9,+IR,N,N
AT1G30620-AT2G348509-10+IR,AT1G30620-AT2G34850,9-10,5-6,+IR,N,N
AT1G30910-AT5G447201-2+ALTD,AT1G30910-AT5G44720,1-2,1-2,+ALTD,N,N
AT1G30910-AT5G447201-2+IR,AT1G30910-AT5G44720,1-2,1-2,+IR,Y,Y
AT1G30910-AT5G447202-3+IR,AT1G30910-AT5G44720,2-3,2-3,+IR,N,N
AT1G31020-AT2G350104-5-ALTA,AT1G31020-AT2G35010,4-5,3-4,-ALTA,N,Y
AT1G31120-AT2G350602-3-ALTD,AT1G31120-AT2G35060,2-3,3-4,-ALTD,N,N
AT1G31120-AT2G350602-3+IR,AT1G31120-AT2G35060,2-3,3-4,+IR,N,N
AT1G31120-AT2G350604-5+IR,AT1G31120-AT2G35060,4-5,5-6,+IR,Y,Y
AT1G31120-AT2G350605-6+IR,AT1G31120-AT2G35060,5-6,6-7,+IR,N,N
AT1G31120-AT2G350606-7+IR,AT1G31120-AT2G35060,6-7,7-8,+IR,N,Y
AT1G31230-AT4G1971012-13+IR,AT1G31230-AT4G19710,12-13,12-13,+IR,N,N
AT1G31230-AT4G1971014-15+IR,AT1G31230-AT4G19710,14-15,14-15,+IR,N,N
AT1G31230-AT4G197103-4+IR,AT1G31230-AT4G19710,3-4,3-4,+IR,N,N
AT1G31230-AT4G197108-9-ALTD,AT1G31230-AT4G19710,8-9,8-9,-ALTD,N,N
AT1G31230-AT4G197108-9+IR,AT1G31230-AT4G19710,8-9,8-9,+IR,N,N
AT1G31230-AT4G197109-10+IR,AT1G31230-AT4G19710,9-10,9-10,+IR,N,Y
AT1G32150-AT2G3553011-12+IR,AT1G32150-AT2G35530,11-12,11-12,+IR,Y,Y
AT1G32150-AT2G355304-5+IR,AT1G32150-AT2G35530,4-5,4-5,+IR,N,N
AT1G32150-AT2G355306-7+IR,AT1G32150-AT2G35530,6-7,6-7,+IR,N,N
AT1G32210-AT2G355203-4+IR,AT1G32210-AT2G35520,3-4,3-4,+IR,N,N
AT1G32210-AT2G355204-5+IR,AT1G32210-AT2G35520,4-5,4-5,+IR,N,Y
AT1G32230-AT2G355103-4+IR,AT1G32230-AT2G35510,3-4,3-4,+IR,N,N
AT1G32490-AT2G353402-3+IR,AT1G32490-AT2G35340,2-3,2-3,+IR,N,N
AT1G32790-AT4G106101-2-ALTA,AT1G32790-AT4G10610,1-2,1-2,-ALTA,N,Y
AT1G32790-AT4G106101-2+IR,AT1G32790-AT4G10610,1-2,1-2,+IR,N,N
AT1G32790-AT4G106105-6+IR,AT1G32790-AT4G10610,5-6,5-6,+IR,N,N
AT1G32790-AT4G106108-9+IR,AT1G32790-AT4G10610,8-9,7-8,+IR,N,N
AT1G33260-AT4G103901-2+IR,AT1G33260-AT4G10390,1-2,1-2,+IR,N,N
AT1G33490-AT4G101402-3+IR,AT1G33490-AT4G10140,2-3,2-3,+IR,N,N
AT1G33490-AT4G101403-4+IR,AT1G33490-AT4G10140,3-4,3-4,+IR,Y,Y
AT1G33990-AT4G099001-2-ALTA,AT1G33990-AT4G09900,1-2,1-2,-ALTA,N,N
AT1G33990-AT4G099001-2+IR,AT1G33990-AT4G09900,1-2,1-2,+IR,N,Y
AT1G33990-AT4G099002-3+IR,AT1G33990-AT4G09900,2-3,2-3,+IR,N,Y
AT1G33990-AT4G099003-4+IR,AT1G33990-AT4G09900,3-4,3-4,+IR,Y,Y
AT1G33990-AT4G099004-5+IR,AT1G33990-AT4G09900,4-5,4-5,+IR,N,Y
AT1G34020-AT4G098102-3+IR,AT1G34020-AT4G09810,2-3,2-3,+IR,N,N
AT1G34020-AT4G098103-4+IR,AT1G34020-AT4G09810,3-4,3-4,+IR,Y,Y
AT1G34020-AT4G098104-5+IR,AT1G34020-AT4G09810,4-5,4-5,+IR,N,N
AT1G34020-AT4G098105-6+IR,AT1G34020-AT4G09810,5-6,5-6,+IR,N,Y
AT1G34470-AT4G096401-2+IR,AT1G34470-AT4G09640,1-2,1-2,+IR,Y,Y
AT1G34470-AT4G096402-3+ALTD,AT1G34470-AT4G09640,2-3,2-3,+ALTD,N,N
AT1G34470-AT4G096402-3+IR,AT1G34470-AT4G09640,2-3,2-3,+IR,N,Y
AT1G34470-AT4G096403-4+ALTD,AT1G34470-AT4G09640,3-4,3-4,+ALTD,N,N
AT1G34470-AT4G096403-4+IR,AT1G34470-AT4G09640,3-4,3-4,+IR,Y,Y
AT1G34470-AT4G096405-6+IR,AT1G34470-AT4G09640,5-6,5-6,+IR,N,N
AT1G34470-AT4G096406-7+IR,AT1G34470-AT4G09640,6-7,6-7,+IR,Y,Y
AT1G34470-AT4G096407-8+IR,AT1G34470-AT4G09640,7-8,7-8,+IR,N,Y
AT1G34550-AT4G096302-3+IR,AT1G34550-AT4G09630,2-3,1-2,+IR,N,N
AT1G34550-AT4G096303-4+IR,AT1G34550-AT4G09630,3-4,2-3,+IR,Y,Y
AT1G34550-AT4G096304-5-ALTA,AT1G34550-AT4G09630,4-5,3-4,-ALTA,N,N
AT1G34550-AT4G096304-5+IR,AT1G34550-AT4G09630,4-5,3-4,+IR,Y,Y
AT1G34550-AT4G096306-7+IR,AT1G34550-AT4G09630,6-7,5-6,+IR,N,Y
AT1G34550-AT4G096307-8+IR,AT1G34550-AT4G09630,7-8,6-7,+IR,N,N
AT1G35460-AT4G091801-2+IR,AT1G35460-AT4G09180,1-2,1-2,+IR,N,N
AT1G35460-AT4G091803-4+IR,AT1G35460-AT4G09180,3-4,3-4,+IR,N,N
AT1G35460-AT4G091804-5+IR,AT1G35460-AT4G09180,4-5,4-5,+IR,Y,Y
AT1G35580-AT4G095102-3+IR,AT1G35580-AT4G09510,2-3,2-3,+IR,N,N
AT1G35580-AT4G095104-5+IR,AT1G35580-AT4G09510,4-5,4-5,+IR,N,N
AT1G35580-AT4G095105-6+IR,AT1G35580-AT4G09510,5-6,5-6,+IR,N,N
AT1G35670-AT4G095701-2+IR,AT1G35670-AT4G09570,1-2,1-2,+IR,N,N
AT1G35670-AT4G095706-7+IR,AT1G35670-AT4G09570,6-7,6-7,+IR,N,N
AT1G45000-AT5G430101-2+IR,AT1G45000-AT5G43010,1-2,1-2,+IR,N,N
AT1G45000-AT5G430103-4+IR,AT1G45000-AT5G43010,3-4,3-4,+IR,N,N
AT1G45000-AT5G430106-7+IR,AT1G45000-AT5G43010,6-7,6-7,+IR,Y,Y
AT1G45000-AT5G430107-8+IR,AT1G45000-AT5G43010,7-8,7-8,+IR,N,Y
AT1G45050-AT5G429902-3-ALTA,AT1G45050-AT5G42990,2-3,2-3,-ALTA,N,N
AT1G45050-AT5G429902-3+IR,AT1G45050-AT5G42990,2-3,2-3,+IR,N,N
AT1G45050-AT5G429903-4+IR,AT1G45050-AT5G42990,3-4,3-4,+IR,N,Y
AT1G45050-AT5G429904-5+IR,AT1G45050-AT5G42990,4-5,4-5,+IR,Y,Y
AT1G45050-AT5G429905-6+IR,AT1G45050-AT5G42990,5-6,5-6,+IR,N,N
AT1G45170-AT5G429601-2+ALTA,AT1G45170-AT5G42960,1-2,1-2,+ALTA,N,N
AT1G45170-AT5G429601-2+IR,AT1G45170-AT5G42960,1-2,1-2,+IR,N,N
AT1G45170-AT5G429602-3+IR,AT1G45170-AT5G42960,2-3,2-3,+IR,N,N
AT1G45545-AT5G428801-2+IR,AT1G45545-AT5G42880,1-2,2-3,+IR,N,N
AT1G45688-AT5G428601-2+IR,AT1G45688-AT5G42860,1-2,1-2,+IR,N,Y
AT1G45688-AT5G428602-3+IR,AT1G45688-AT5G42860,2-3,2-3,+IR,N,N
AT1G48230-AT3G174302-3+IR,AT1G48230-AT3G17430,2-3,2-3,+IR,N,N
AT1G48230-AT3G174305-6+IR,AT1G48230-AT3G17430,5-6,5-6,+IR,N,Y
AT1G48230-AT3G174307-8+IR,AT1G48230-AT3G17430,7-8,7-8,+IR,Y,Y
AT1G48230-AT3G174308-9+IR,AT1G48230-AT3G17430,8-9,8-9,+IR,N,N
AT1G48230-AT3G174309-10+IR,AT1G48230-AT3G17430,9-10,9-10,+IR,N,N
AT1G48240-AT3G174401-2+IR,AT1G48240-AT3G17440,1-2,1-2,+IR,N,N
AT1G48240-AT3G174403-4+IR,AT1G48240-AT3G17440,3-4,3-4,+IR,Y,Y
AT1G48240-AT3G174404-5+ALTD,AT1G48240-AT3G17440,4-5,4-5,+ALTD,N,N
AT1G48240-AT3G174404-5+IR,AT1G48240-AT3G17440,4-5,4-5,+IR,N,N
AT1G48240-AT3G174406-7+IR,AT1G48240-AT3G17440,6-7,6-7,+IR,N,N
AT1G48240-AT3G174407-8+IR,AT1G48240-AT3G17440,7-8,7-8,+IR,N,N
AT1G48240-AT3G174408-9+IR,AT1G48240-AT3G17440,8-9,8-9,+IR,N,N
AT1G48260-AT3G175101-2+ALTA,AT1G48260-AT3G17510,1-2,1-2,+ALTA,N,N
AT1G48260-AT3G175101-2+IR,AT1G48260-AT3G17510,1-2,1-2,+IR,N,Y
AT1G48260-AT3G175105-6+IR,AT1G48260-AT3G17510,5-6,5-6,+IR,N,Y
AT1G48260-AT3G175106-7-ALTA,AT1G48260-AT3G17510,6-7,6-7,-ALTA,N,N
AT1G48260-AT3G175106-7+IR,AT1G48260-AT3G17510,6-7,6-7,+IR,N,Y
AT1G48260-AT3G175107-8+IR,AT1G48260-AT3G17510,7-8,7-8,+IR,N,N
AT1G48260-AT3G175108-9-ALTA,AT1G48260-AT3G17510,8-9,8-9,-ALTA,N,N
AT1G48260-AT3G175108-9+IR,AT1G48260-AT3G17510,8-9,8-9,+IR,N,N
AT1G48440-AT3G177802-3+IR,AT1G48440-AT3G17780,2-3,2-3,+IR,N,Y
AT1G48480-AT3G178401-2+IR,AT1G48480-AT3G17840,1-2,1-2,+IR,N,Y
AT1G48490-AT3G1785011-12+IR,AT1G48490-AT3G17850,11-12,10-11,+IR,N,N
AT1G48490-AT3G1785012-13+IR,AT1G48490-AT3G17850,12-13,11-12,+IR,N,Y
AT1G48490-AT3G1785013-14+IR,AT1G48490-AT3G17850,13-14,12-13,+IR,N,N
AT1G48490-AT3G178505-6-ALTA,AT1G48490-AT3G17850,5-6,4-5,-ALTA,N,N
AT1G48490-AT3G178505-6+IR,AT1G48490-AT3G17850,5-6,4-5,+IR,N,Y
AT1G48490-AT3G178506-7-ALTA,AT1G48490-AT3G17850,6-7,5-6,-ALTA,N,N
AT1G48490-AT3G178506-7+IR,AT1G48490-AT3G17850,6-7,5-6,+IR,N,N
AT1G48490-AT3G178508-9+IR,AT1G48490-AT3G17850,8-9,7-8,+IR,N,N
AT1G48630-AT3G181301-2+IR,AT1G48630-AT3G18130,1-2,1-2,+IR,N,Y
