gene_name	A	B	C	Gene_Length
AT5G11840	2917	3264	5039	1357
AT5G15540	2321	2396	3841	9525
AT3G21180	0	0	0	6682
AT5G44520	4358	3607	6959	2241
AT2G42660	0	0	0	1241
AT1G20870	150	131	370	1674
AT1G20875	0	0	0	201
AT4G34320	14	24	32	1783
AT4G15300	3	7	7	2026
AT3G29785	0	0	0	330
AT5G09760	1679	1460	3294	2169
AT3G27950	0	1	0	1849
AT3G29780	0	0	0	449
AT5G41340	1703	2372	3277	2050
AT5G53460	25823	26684	41283	9549
AT3G21230	508	357	641	3961
AT2G18940	3375	2914	5888	2666
AT5G49110	144	155	308	5723
AT1G61630	0	0	0	1905
AT3G16030	304	360	456	3194
AT5G04220	1337	1242	1886	3012
AT3G28780	0	1	0	2548
AT4G01700	411	279	525	1198
AT4G01703	0	0	0	114
AT3G63140	55438	52108	101722	1843
AT3G11560	13066	12360	21390	6378
AT3G22520	2363	2318	4486	2829
AT1G67265	8	45	21	645
AT3G26630	2432	2259	4245	1615
AT1G18200	153	103	133	1522
AT4G00250	4	2	4	1262
AT3G26180	5295	5602	8223	1870
AT4G16650	2167	1881	3510	3933
AT5G46580	15733	11633	29917	2201
AT2G27430	11	38	29	3385
AT1G63900	1859	2396	3446	2695
AT1G47370	149	99	188	2806
AT1G66360	0	0	0	1458
AT4G11150	17996	16449	32399	1998
AT3G51810	6	1	0	1084
AT2G44150	1023	1435	2077	2833
AT1G32280	0	0	0	597
AT2G27380	1036	0	1	2286
AT2G27385	8843	16692	24277	835
AT2G27389	3	0	4	788
AT3G23690	2187	2670	4297	2381
AT5G49800	141	99	351	1543
AT3G27580	292	249	556	2560
AT1G33480	363	394	706	1662
AT1G13050	141	101	228	1361
AT5G47180	317	429	622	2291
AT5G44760	0	0	0	2179
AT1G67105	157	393	253	786
AT1G32750	3862	3766	6221	10519
AT1G67100	10	0	0	1114
AT3G46140	2	0	2	1131
AT1G18970	0	0	0	810
AT4G18530	943	1205	1598	3163
AT2G22090	638	779	1368	1507
AT3G15710	1145	1329	2190	1551
AT5G01300	27	1	8	1043
AT1G27770	2679	3703	4283	4520
AT4G03930	0	0	0	1966
AT3G47810	2119	2261	3641	2478
AT1G51250	0	0	0	672
AT5G03800	682	512	1172	2807
AT3G20910	362	349	580	2195
AT3G46490	174	276	285	3823
AT4G17215	17	40	57	741
AT4G17210	0	0	0	1673
AT5G43250	55	50	129	393
AT1G53090	2860	2404	4358	3361
AT5G28380	84	46	79	2285
AT1G64450	178	108	303	1249
AT5G33406	0	0	1	2349
AT1G20460	100	153	238	1633
AT4G21390	113	222	167	3229
AT1G13940	1571	1467	2940	4047
AT3G10745	0	0	0	100
AT3G10740	4926	6237	8425	4527
AT3G14040	0	0	0	1972
AT1G12090	93639	89993	168201	879
AT5G61140	4114	3917	6287	13609
AT1G16530	41	20	48	1514
AT3G61177	0	0	0	322
AT3G61175	0	0	0	327
AT3G61172	0	0	0	347
AT3G13210	74	60	76	2926
AT1G11540	3	2	3	1714
AT1G11545	875	479	1285	1812
AT5G08420	4299	4757	8905	2767
AT1G20795	0	0	0	1257
AT1G79250	0	5	5	2085
AT1G20790	0	0	0	1308
AT5G56680	4440	3708	8309	2494
AT5G38005	25	41	45	1022
AT2G21010	3	11	10	927
AT3G47360	277	219	425	1732
AT5G38000	5	1	10	1705
AT2G13422	0	0	0	105
AT5G67050	45	70	78	1738
AT1G50610	0	0	1	2591
AT5G62510	0	0	0	1263
AT5G03210	31	91	185	535
AT4G38270	993	993	1784	3187
AT1G57340	0	0	0	37
AT3G16990	347	399	700	1017
AT3G53500	4711	4757	8707	2746
AT4G13445	0	0	0	73
AT2G43270	0	0	1	1285
AT1G23840	320	543	471	1080
AT4G13440	0	0	2	465
AT4G37530	275	280	424	1505
AT3G55900	0	0	1	324
AT2G17420	3923	3475	6087	2195
AT3G19350	11	15	11	635
AT2G24140	49	33	69	1480
ATMG01330	0	0	0	384
AT1G10630	3052	2815	5537	1935
AT4G15840	2355	2157	3850	4128
AT2G01650	914	1001	1653	1822
AT1G05835	37	41	100	591
AT3G57220	888	729	1651	2665
AT1G05830	2494	2005	3834	7574
AT1G15040	3	10	15	1503
AT1G60220	1347	1233	2167	3840
AT1G15045	0	0	0	108
AT3G17020	4197	6688	8287	1622
AT3G61280	304	299	336	2810
AT4G10360	1930	1747	3248	1845
AT5G36120	2889	2353	5750	657
AT3G62735	0	0	0	71
AT3G62730	0	0	0	1618
AT3G16370	32671	33523	68575	1880
AT4G24275	36	115	60	544
AT4G24270	1567	1183	2480	5784
AT5G19340	10	4	6	1114
AT5G27290	4212	4498	7025	2142
AT3G52670	188	126	293	1491
AT1G19610	37	28	42	557
AT2G25810	1	1	0	1665
AT4G25890	2370	1692	4602	1012
AT5G24920	8	20	31	611
AT2G22840	383	459	633	2546
AT3G45430	258	333	610	2025
AT2G32080	6229	6746	10721	1930
AT2G30810	0	0	0	841
AT1G64065	163	275	346	1177
AT5G27740	1310	1476	2580	3386
AT5G23040	9439	9123	17743	1720
AT3G61829	0	0	0	132
AT3G61820	4699	2737	8632	1827
AT3G61825	0	0	0	72
AT1G56760	0	0	0	82
AT3G61826	0	0	0	93
AT5G35195	0	0	0	177
AT1G61170	303	529	727	1038
ATCG00500	147	30	71	1467
AT3G02900	1498	1450	3012	1839
AT1G03930	4137	3465	7497	3602
AT4G23800	713	842	1780	2544
AT1G03935	0	0	0	87
AT2G24850	740	454	763	2387
AT1G05300	201	226	313	2744
AT1G01680	119	103	124	1957
AT5G28620	0	0	0	476
AT1G54720	0	0	0	924
AT3G59100	789	607	1295	10454
AT3G63460	8489	7184	14238	6701
AT3G18130	8034	3141	13617	1530
AT3G51375	0	0	0	92
AT3G51370	5581	6728	10203	2833
AT1G18560	295	288	537	2632
AT1G14020	957	697	1503	2656
AT1G03687	778	628	1420	2209
AT1G03680	23967	23773	43096	1246
AT1G13550	3	1	3	1347
AT1G02080	7787	7036	11765	13513
AT5G24210	4085	4984	6622	2285
AT1G55230	0	1	0	1106
AT5G59130	5659	3871	8390	3545
AT3G46800	0	0	0	2049
AT3G43870	0	0	0	975
AT1G54180	201	225	338	2947
AT1G58400	19	12	24	2954
AT5G58260	5896	5346	11080	1069
AT5G43680	594	413	1107	1724
AT3G51590	0	1	1	1011
AT2G26560	670	1150	696	2038
AT1G02330	1289	1373	2660	1538
AT4G32800	337	319	625	1348
AT1G02335	406	353	717	1070
AT3G05152	0	0	0	1121
AT3G57430	694	700	1293	2846
AT1G31130	3792	5017	8419	1495
AT3G05155	0	0	0	2644
AT1G09483	0	0	2	738
AT1G09480	55	34	46	2687
AT1G76930	689	393	939	1583
AT3G53990	3869	7771	9372	1798
AT3G56740	501	504	865	2787
AT4G05430	6	14	30	839
AT1G34560	0	0	0	717
AT5G65300	17	32	46	625
AT1G30660	3	3	13	2165
AT4G22860	204	196	318	4239
AT5G20820	49	57	132	646
AT2G34660	5275	5282	7669	9866
AT5G60880	3	5	29	1490
AT2G01340	294	617	779	1337
AT1G07300	211	124	315	735
AT3G15055	0	0	0	74
AT3G15050	10	22	39	1082
AT5G54460	0	0	0	525
AT4G12450	33	20	42	1009
AT3G10260	2695	4029	5743	1738
AT5G50370	882	635	1685	1545
AT5G50375	683	945	1658	2583
AT3G16940	2528	3287	4771	4506
AT5G58580	126	147	256	927
AT4G25070	89	54	87	4253
AT2G32500	5896	5452	10649	2802
AT3G57290	7740	5676	13803	2634
AT5G13930	14530	6846	20081	1577
AT4G21980	873	1409	1981	1422
AT2G35040	9316	4934	15098	3129
AT5G62650	2241	2198	3890	3311
AT2G04870	0	0	0	219
AT3G05840	8643	8403	13004	3144
AT3G18470	0	0	0	1001
AT3G06630	19	23	30	3413
AT3G59923	0	0	0	74
AT3G59920	6473	6595	11629	3459
AT3G59926	0	0	0	72
AT5G53110	47	45	57	4138
AT1G70420	914	840	1973	1189
AT4G20160	0	0	0	3989
AT5G60140	3	1	4	1377
AT1G78210	1490	1255	2636	1660
AT3G28810	0	0	0	1471
AT1G04820	14946	17024	34117	2196
AT2G33670	0	0	1	2902
AT2G31740	1793	1321	3026	4203
AT2G36530	32426	24369	59214	3114
AT5G15833	0	0	0	142
AT5G11390	507	726	974	2904
AT5G15830	295	275	367	819
AT4G20290	4	4	2	426
AT2G38590	0	0	0	1288
AT2G26820	0	2	3	4392
AT2G29830	0	0	0	1189
AT4G30510	379	542	615	2455
AT2G39240	190	101	251	3042
AT2G44390	8	0	2	741
AT5G11640	619	608	1046	1984
AT4G31640	0	0	0	1333
AT1G36078	0	0	0	1121
AT3G44428	0	0	0	333
AT1G36070	761	842	1277	3989
AT4G36910	686	508	1144	2714
AT2G40890	4684	4320	8043	2600
AT1G22240	3	0	2	1880
AT3G07140	1911	1346	2957	2546
AT1G33640	0	0	0	249
AT5G66020	1	1	3	3499
AT3G06680	2460	1730	6036	626
AT5G23903	0	0	0	678
AT5G23900	8488	6288	16400	1539
AT3G04490	2209	2268	3466	9228
AT1G62190	18	9	18	1032
AT1G32510	3	5	3	1119
AT4G09490	104	152	188	1014
AT2G41415	0	0	0	681
AT3G04200	13	1	3	986
AT2G41410	3019	3617	5895	1157
AT3G43810	3668	3364	7105	2090
AT1G63820	5	10	25	1946
AT3G03710	8635	6682	14118	5797
AT1G68765	10	2	3	536
AT5G26820	6857	5723	12328	3487
AT4G09720	2236	1908	4287	2267
AT1G76210	0	2	0	1032
AT2G37370	0	3	21	4103
AT5G14870	26	17	41	2807
AT1G47820	206	164	336	511
AT4G33730	0	0	0	519
AT1G67340	786	1004	1461	1576
AT1G56240	2	14	13	1346
AT1G56242	0	0	0	1415
AT1G29370	5544	6057	10503	5309
AT1G49460	0	0	0	37
AT5G60740	0	0	0	4460
AT1G64690	82	100	248	1144
AT2G47150	2	2	5	791
AT2G19470	1978	1626	3030	2943
AT3G08800	291	335	523	4049
AT1G34910	0	0	0	501
AT2G04025	0	0	0	958
AT4G02860	1335	1461	2459	1813
AT2G04020	0	0	0	1098
AT2G03030	0	0	0	757
AT1G69410	5937	4818	9978	1185
AT3G04720	1147	904	897	1039
AT1G62440	25	85	39	3476
AT1G16730	1199	733	1632	945
AT4G29220	6558	5370	9865	3246
AT3G05450	1	1	1	2510
AT3G21880	1	0	0	1346
AT5G44220	0	0	0	888
AT1G11700	1022	247	1369	877
AT1G31270	0	0	0	310
AT4G03400	4116	4222	6773	2330
AT3G60190	3760	5000	6617	3665
AT5G13090	1603	1811	2721	1088
AT4G34420	58	35	86	2585
AT4G03405	0	0	0	72
AT1G27360	552	324	842	1899
AT4G19970	29	10	36	7140
AT1G65870	305	155	506	570
AT1G16080	15919	14469	27708	1711
AT5G53940	1453	1178	2625	1616
AT2G36295	1	0	0	552
AT3G20280	527	571	929	3449
AT2G36290	903	831	1494	2219
AT5G03050	659	895	1273	1293
AT5G55470	116	116	171	3462
AT2G07640	10	2	4	684
AT5G32590	0	0	0	2734
AT5G32597	0	0	0	132
AT1G71290	0	0	0	600
AT4G06583	0	0	0	570
AT5G16110	3052	7193	7102	2237
AT4G37730	67	33	82	1250
AT3G36659	1	1	1	795
AT4G34280	1239	1662	2224	3788
AT4G38700	216	299	495	719
AT2G27960	1464	1720	2932	963
AT3G30768	0	0	0	135
AT3G30769	0	0	0	123
AT1G27980	533	604	768	4033
AT4G04980	0	0	0	3790
AT4G04985	0	0	0	477
AT5G45573	0	0	0	819
AT3G28370	307	510	679	2633
AT1G34000	16819	16001	28500	1057
AT1G21202	0	0	0	94
AT1G21200	508	622	927	1927
AT4G39250	0	0	1	401
AT4G35770	754	9218	2914	1252
AT4G06639	0	0	0	507
AT3G20420	272	273	437	1638
AT2G43700	146	109	215	3753
AT4G37880	1978	2442	3317	1910
AT3G17225	41	25	76	558
AT2G02070	4323	3858	8321	3939
AT3G17220	16	16	35	522
AT3G16170	614	730	1073	4229
AT4G38940	265	465	630	1428
AT3G16175	251	194	334	916
AT4G10160	16	19	28	1310
AT4G18310	0	0	0	916
AT3G62130	1086	1252	1952	2076
AT3G27810	0	2	0	2888
AT4G04670	625	413	1050	4651
AT5G54700	0	0	2	2414
AT5G19580	354	396	616	2256
AT4G35480	360	584	719	874
AT1G08530	628	599	1104	1866
AT1G24180	3226	3196	5905	2971
AT1G60750	0	0	0	1562
AT3G57410	8441	9335	14460	7965
AT3G17590	549	593	940	2455
AT5G48420	0	0	0	429
AT5G03580	0	0	0	467
AT3G28590	0	0	0	363
AT5G04050	501	415	842	2905
AT1G66750	664	648	1128	2539
AT1G65010	5687	6024	11981	4732
AT5G16800	887	1175	1405	2308
AT1G19360	1755	1479	2778	2022
AT5G18180	20	10	27	1045
AT5G25500	121	99	224	1680
AT5G14400	0	4	5	2862
AT1G21975	0	0	0	189
AT3G63260	2438	2511	4449	2127
AT1G21970	0	0	0	2041
AT4G11690	67	60	78	1701
AT4G15530	6410	5892	7471	5974
AT2G20750	1911	1424	3855	1571
AT2G15370	0	0	0	1684
AT2G03850	2	0	3	1122
AT1G61400	101	76	122	3179
AT1G25275	2244	4913	5311	691
AT4G00355	1516	2038	2638	1489
AT1G25270	0	0	0	2184
AT5G49300	77	76	149	849
AT1G14620	724	426	1196	1852
AT5G36450	0	0	0	357
AT5G47220	566	3466	1765	962
AT2G19800	5	27	17	2613
AT2G19802	0	0	0	442
AT5G47229	0	0	0	156
AT1G13390	815	771	1291	855
AT1G79870	3135	3117	5183	1282
AT1G33360	672	584	1153	4149
AT4G01910	11	32	36	2118
AT4G19190	1463	2014	2715	2914
AT4G01915	745	591	1107	1371
AT3G11330	1186	1237	2083	2790
AT5G09260	540	604	983	1948
AT3G09700	265	209	598	1476
AT1G19940	273	271	511	2187
AT5G41680	13	16	23	1605
AT2G06020	0	0	0	3673
AT5G41685	1527	1249	2846	575
AT1G67800	1036	860	1611	2624
AT1G18010	3371	4858	5548	1587
AT3G23240	7	16	8	961
AT3G23245	0	0	0	453
AT2G44020	447	397	809	1827
AT3G24730	267	330	586	889
AT4G07515	0	0	0	554
AT5G35370	636	832	1148	2839
AT3G26390	0	0	0	501
AT1G26610	12	12	27	1931
AT5G46790	1324	885	2065	890
AT5G46795	0	0	1	1210
AT2G22440	0	0	0	1008
AT1G52930	1900	801	2757	1994
AT4G17975	0	0	0	72
AT1G22720	0	0	1	1434
AT5G42080	7851	9132	13573	4473
AT4G17970	405	392	644	2315
AT2G21930	0	0	0	1488
AT2G24720	0	0	1	3058
AT1G28540	528	626	920	1293
AT5G46040	0	0	1	2155
AT5G40790	0	1	2	912
AT4G16370	9978	9152	18898	2790
AT1G80250	0	0	0	72
AT2G27190	1507	1484	2104	2397
AT4G26740	6	0	0	1813
AT5G42330	72	45	155	896
AT1G74330	434	550	799	3492
AT2G47830	510	487	961	3152
AT4G12617	0	0	0	384
AT3G10460	0	0	1	640
AT4G24450	797	778	1240	7372
AT4G12610	1712	1972	3235	3580
AT2G16050	269	276	427	1652
AT1G12110	4371	2991	8053	4313
AT5G40240	329	346	537	2686
AT1G09932	213	154	300	2660
AT3G46750	0	1	0	1898
AT5G07760	37	40	47	5419
AT4G17390	16902	10388	31280	1521
AT1G64860	22629	19349	37230	3000
AT5G39360	883	939	1530	1686
AT3G27040	0	0	1	3016
AT3G15520	7136	7259	13985	2908
AT5G05890	691	1274	1434	1571
AT3G19420	5438	6516	9650	4248
AT1G50790	77	106	167	2439
AT5G02040	854	838	1366	2053
AT5G62490	10	0	0	1430
AT5G04347	0	0	1	785
AT1G29630	283	377	544	4266
AT5G08440	1213	1116	2069	6499
AT5G07490	0	0	0	1191
AT4G17020	793	738	1282	3565
AT4G21210	18505	13212	28972	1798
AT4G21213	4	0	3	261
AT1G13160	2619	1423	3916	3994
AT4G21215	1701	1557	3135	3325
AT4G21216	0	0	0	153
AT3G06435	14	11	37	1664
AT5G04340	152	499	1086	976
AT1G51770	0	3	2	1436
AT3G06430	3066	3616	6004	1891
AT1G50420	406	339	638	2192
AT1G53683	0	0	0	154
AT1G53680	88	52	173	760
AT3G43220	3910	3874	5923	6200
AT1G53687	0	0	1	217
AT4G27900	504	388	793	2352
AT2G25130	0	1	0	1819
AT5G02550	58	109	161	505
AT1G74740	389	567	797	2699
AT1G20610	176	218	330	2992
AT3G06380	1815	2866	3331	2098
AT1G79590	1275	1579	2366	2270
AT5G37190	1567	1194	2521	3551
AT2G16940	6597	6066	11879	4802
AT5G06170	0	0	0	1929
AT3G61320	1187	916	2100	1846
AT2G17090	0	0	0	2211
AT3G26800	0	0	0	606
AT1G79040	282700	295096	550038	994
AT5G38212	0	0	0	2788
AT5G38210	358	439	526	4626
AT3G22020	0	0	0	915
AT3G22022	0	0	0	204
AT5G37440	91	89	198	1202
AT2G31230	783	246	1031	883
AT3G44620	3982	3648	6680	2005
AT5G22690	341	609	656	3912
AT3G58890	0	0	0	1532
AT1G52155	192	182	334	2188
AT2G24260	280	304	500	2889
AT1G42470	2941	3033	4464	8222
AT1G52150	2062	1654	3381	4968
AT3G53710	3410	3575	6339	2177
AT3G48500	5592	3901	9996	3451
AT1G21560	1173	857	1899	2273
AT1G18840	1416	1735	3002	3566
AT3G44990	15029	2571	15881	1790
AT1G02980	0	0	0	3442
AT3G55710	127	183	342	2100
AT1G04778	7	1	1	436
AT3G62670	0	0	0	2076
AT1G04770	1679	3583	4759	1479
AT5G57700	826	781	1391	1901
AT5G22520	27	21	67	598
AT4G23103	0	0	0	165
AT4G24330	4090	3550	6923	2808
AT4G23100	16256	15131	27547	4139
AT2G40700	982	436	1408	2776
AT5G66558	12	8	14	2811
AT3G23370	155	48	175	3281
AT3G21980	0	0	0	1019
AT5G66550	858	799	1760	1633
AT1G72370	31209	19641	57121	1989
AT1G60410	0	0	1	1734
AT5G60290	106	67	140	980
AT1G01183	0	0	0	101
AT1G01180	903	1030	1348	1176
AT1G08670	0	0	0	1228
AT5G50950	33099	30577	63380	3905
AT5G36710	143	139	322	845
ATCG00710	67	9	25	222
AT1G55680	4947	5317	8279	3349
AT4G08035	1280	1071	2611	1790
AT3G03260	6	1	6	4124
AT5G27460	603	684	1142	1579
AT4G08039	0	0	0	1188
AT1G43700	2496	3018	4377	2011
AT1G48130	22	1	0	1226
AT3G42660	1032	926	1822	4422
AT1G19000	20115	24331	38861	1992
AT1G49660	1213	1376	2279	1103
AT5G60180	20	17	20	984
AT1G09070	5757	10300	19923	1266
AT1G01720	1032	2254	2918	1490
AT5G61740	113	117	207	4114
AT1G58300	93	118	173	1985
AT1G01725	269	326	531	984
AT5G67200	319	144	593	2842
AT4G22270	203	154	349	2712
AT2G15630	46	74	113	1884
AT3G49360	556	586	964	1371
AT3G04120	41021	34018	75893	2581
AT5G63980	4593	4289	7815	2122
AT1G31070	1089	1017	1990	3705
AT4G29020	464	1151	1826	801
AT3G05290	715	970	1398	1813
AT5G44020	19183	22768	41161	1928
AT1G03760	341	274	641	2316
AT3G03847	0	2	0	396
AT3G03845	0	0	0	72
AT3G03840	332	387	376	727
AT5G61580	2238	2248	3600	2934
AT5G20165	1056	1102	1944	1734
AT3G59710	68	55	131	2220
AT5G20160	4401	2151	7639	1414
AT3G54390	333	325	635	1402
AT4G27170	10	0	0	688
AT3G50670	4664	4183	8336	3319
AT2G41890	1011	734	1789	2295
AT3G50674	0	0	0	345
AT5G48230	2802	2713	4969	3388
AT1G09690	17063	12516	33046	1288
AT4G09810	480	411	709	2118
AT5G51700	681	676	1283	1997
AT1G71050	303	202	547	1140
AT2G26240	796	832	1542	1217
AT5G59570	12	15	10	1625
AT1G44160	1	1	2	1622
AT5G13870	276	234	465	2070
AT5G45770	67	38	147	1354
AT1G34245	10	5	10	887
AT3G54970	654	472	1030	1931
AT1G57080	0	0	0	37
AT4G26220	22	12	39	1748
AT4G26225	0	0	0	72
AT3G58040	1673	1682	3203	2973
AT4G04470	1038	885	1526	1620
AT4G28040	5	18	15	1951
AT5G26780	3304	2973	5570	3897
AT1G34795	0	0	0	488
AT1G34792	0	0	0	389
AT1G34790	0	0	1	1737
AT2G29110	297	527	379	3673
AT1G06840	1139	1268	1923	5733
AT1G68140	1829	2527	3823	2754
AT5G59395	0	0	0	72
ATMG00150	0	1	4	351
AT5G58620	322	462	568	2883
AT5G22120	1146	1377	1955	2437
AT5G53635	0	0	0	1446
AT3G19910	1392	2361	3087	3260
AT1G69890	173	2291	819	1506
AT5G52940	88	61	127	1402
AT5G26250	7	4	12	2044
AT1G71940	380	350	715	1725
ATMG00480	146	136	245	477
AT1G70090	1692	2283	3448	1608
AT2G39890	1329	1247	2000	2653
AT5G15110	0	0	0	1933
AT2G32710	947	1355	1819	2396
AT2G37940	1944	2319	3352	2906
AT5G65910	2204	3265	4091	2021
AT5G14240	1297	1763	2693	1733
AT4G30490	1662	1652	2730	3111
AT1G63430	2075	2052	3785	4336
AT5G23650	0	0	0	1208
AT2G38410	1367	1591	2374	3579
AT2G30620	8026	7507	13953	1581
AT5G56550	346	4485	3182	1038
AT2G07360	5109	5468	9011	9945
AT1G69230	33	52	91	1356
AT5G53090	169	131	308	2319
AT3G22680	478	510	991	801
AT3G66654	1698	1838	2991	2414
AT1G27500	389	454	746	2689
AT4G30720	5107	4066	9623	3614
AT2G28790	143	113	324	1002
AT4G20310	686	618	1102	2335
AT1G68960	1	0	0	1362
AT1G73540	1261	3099	8827	1041
AT2G45980	2830	4208	5171	1758
AT2G07020	0	0	0	2726
AT3G07330	2375	2422	4413	3489
AT5G56910	944	1018	1669	1284
AT1G72630	1091	1416	2105	1307
AT5G63280	629	627	1024	2267
AT2G03913	0	0	0	365
AT5G11560	7723	7343	14615	4579
AT5G39870	0	0	1	1425
AT1G77040	0	0	0	72
AT2G36700	0	0	0	1716
AT3G02670	5	0	3	847
AT4G09020	1551	2089	2701	4929
AT4G32380	0	0	0	1827
AT2G01330	501	483	814	2582
AT4G36890	1783	1455	3086	2606
AT5G07900	1257	691	2203	1378
AT5G48300	26589	25266	46676	2565
AT1G28700	0	1	0	1531
AT1G48270	265	262	519	2468
AT1G24851	0	0	0	777
AT2G44580	378	394	720	1539
AT2G44581	0	0	0	438
AT4G00885	0	0	0	136
AT4G32650	137	100	230	3524
AT2G18660	164	199	265	999
AT5G55700	995	1686	1767	3216
AT4G36760	2284	3122	4148	3592
AT4G07350	0	0	0	2619
AT5G66610	220	202	444	3009
AT4G23660	484	441	861	3986
AT2G19390	1342	1036	2215	8063
AT2G46980	359	427	664	4680
AT5G30520	0	0	0	447
AT1G62760	40	42	77	939
AT2G44630	82	86	170	1289
ATCG00830	4837	3853	7390	1507
AT1G12350	1167	1163	2012	2390
AT1G26750	1243	978	2071	1488
AT2G07815	174	127	206	1895
AT4G18905	2630	1642	4363	3345
AT5G14930	669	1097	1320	2315
AT4G18900	0	0	0	2614
AT2G47585	0	0	0	78
AT3G62540	536	633	970	1974
AT1G76390	773	956	1145	3313
AT2G47580	1833	1588	3217	1685
AT3G03100	4361	4162	8155	2271
AT1G17650	4086	3588	7949	2536
AT4G08370	0	0	0	1353
AT1G67680	3556	2618	5837	2771
AT2G46670	1307	840	2475	820
AT5G51010	7561	5651	12856	1138
AT3G09760	1210	1187	2115	2981
AT5G39120	0	0	0	782
AT4G37380	818	701	1413	1899
AT2G02795	0	0	0	597
AT2G02790	890	804	1959	3032
AT2G43000	13	23	21	2022
AT2G19530	81	77	195	1769
AT1G76020	1497	1448	2500	1471
AT5G01881	1	0	1	429
AT5G01880	360	578	634	1355
AT2G35970	1	0	3	767
AT1G16290	0	1	1	2786
AT3G23830	1063	767	2360	1579
AT5G56160	223	206	355	3617
AT1G64080	147	181	263	1780
AT1G57530	0	0	0	37
AT2G01680	2668	1856	4312	2275
AT4G07820	22	20	27	687
AT1G27080	0	0	2	3126
AT4G38000	5	10	7	975
AT3G60010	6	1	8	465
AT1G65930	23336	23001	37720	3244
AT3G52020	0	0	0	1768
AT2G02130	3741	3279	8360	636
AT4G13810	1954	1327	2494	2226
AT1G64330	1091	1180	2314	3294
AT4G02810	30	31	47	1051
AT4G01250	186	1087	865	1613
AT2G01530	2	1	1	816
AT1G11112	10	6	9	737
AT2G42350	10	18	20	847
AT5G13680	1943	1675	3480	5111
AT1G20360	0	0	0	1241
AT5G38450	0	0	0	3526
AT5G45980	0	0	2	1928
AT1G30950	0	0	1	1329
AT1G65681	0	0	0	1796
AT1G65680	0	0	0	1134
AT3G14940	1676	1308	2729	4473
AT2G43910	10635	9820	17933	2538
AT3G17410	3569	4259	6436	3198
AT5G09870	13203	11467	23645	4907
AT5G09876	6	3	11	449
AT3G61650	554	500	921	2411
AT5G03620	83	70	158	3137
AT1G61300	4997	4882	8185	2808
AT5G58530	228	165	444	964
AT5G04930	5262	4474	7897	4948
AT5G38980	6403	5994	10866	580
AT4G39350	12877	12507	22571	5396
AT5G05460	233	220	359	3374
AT5G01490	0	1	1	2984
AT5G19175	0	0	0	443
AT5G16300	2552	2073	4125	4314
AT5G19170	40	48	89	2175
AT5G12480	1878	2085	3385	3019
AT5G18220	10	7	19	1540
AT1G80870	1075	777	2040	2251
AT5G15650	4982	4727	9349	2338
AT4G38910	335	336	634	1523
AT3G55550	0	0	0	2069
AT1G18730	10070	10694	19711	1627
AT1G18735	0	0	0	521
AT1G20940	0	0	0	1245
AT5G42510	0	0	0	549
AT4G18290	252	260	441	3182
AT3G27999	0	0	0	640
AT2G21360	0	0	0	72
AT2G14700	0	0	1	3261
AT3G27990	707	731	1243	5501
AT1G24060	0	0	0	687
AT1G08470	968	1205	1894	1974
AT1G24062	0	0	0	567
AT5G23630	3942	3198	6523	7469
AT5G12150	15861	12972	26624	6180
AT4G35520	64	56	102	6277
AT1G24068	0	1	0	466
AT5G28919	0	0	0	1739
AT2G16630	1042	1049	1983	1799
AT5G24060	2140	2459	4283	3323
AT4G16940	351	425	568	4456
AT3G55080	1288	1124	2037	4499
AT3G62300	1401	1669	2869	3177
AT4G10730	3338	3576	5307	5466
AT4G14890	8312	7628	18134	625
AT4G18120	2505	2208	3389	4123
AT1G66650	12	19	42	1709
ATCG01020	61	56	85	159
AT3G27660	20	6	11	1269
AT5G19790	3	2	2	933
AT5G40850	7095	11293	18550	2630
AT5G40855	0	0	8	237
AT3G25290	52	52	105	1663
AT3G11810	1630	1973	2978	1236
AT3G22010	0	0	0	1452
AT4G00140	5	3	6	2284
AT5G05920	672	478	1070	2280
AT1G18190	1104	1134	2069	3607
AT3G16450	1	12	5	1570
AT2G21160	5521	4201	10051	2114
AT1G13740	479	475	980	1734
AT3G25740	1154	933	1672	1977
AT3G29670	1114	2214	2263	1479
AT1G53940	0	0	0	2502
AT2G23210	1	0	0	1391
AT3G49160	1147	915	1895	2892
AT5G17070	917	921	1725	2771
AT2G17940	0	1	4	1123
AT3G15220	1268	1366	2249	5710
AT5G25330	1	0	0	1301
AT5G01410	27012	17753	38841	1297
AT4G11060	465	385	774	1946
AT4G15765	237	379	354	1808
AT4G15760	1924	6980	4346	2003
AT4G27370	470	450	861	5900
AT4G19650	341	188	541	4028
AT2G20540	122	47	133	1605
AT3G51700	0	0	0	1924
AT5G41720	0	0	0	778
AT4G16490	8025	7117	14525	2083
AT2G25685	0	0	0	404
AT3G50070	601	648	1162	1647
AT2G25680	803	489	1263	1491
AT3G46380	0	0	0	679
ATCG00860	1221	347	653	6885
AT4G17720	1532	1190	2448	2218
AT4G25200	3	1	2	1037
AT5G47070	620	990	1036	2367
AT5G47075	0	0	0	324
AT5G47077	0	0	0	274
AT3G11100	901	1345	1939	1219
AT2G11626	0	0	0	994
AT1G79620	663	492	1256	4744
AT2G11620	1	6	6	2333
AT2G11623	0	0	0	546
AT2G16650	585	707	1405	2577
AT3G22900	90	96	163	1077
AT1G12830	1057	1082	2190	921
AT3G26210	626	790	747	2112
AT3G15480	2568	3022	5031	1542
AT5G11660	0	0	0	1438
