pair	j1	j2	class	g1r1alt	g1r1cons	g1r2alt	g1r2cons	g1r3alt	g1r3cons	g2r1alt	g2r1cons	g2r2alt	g2r2cons	g2r3alt	g2r3cons	Locus1	Locus2
AT1G25520-AT1G68650	2-3	2-3	+IR	1	301	1	222	2	454	0	170	0	152	0	285	CDS	CDS
AT1G25520-AT1G68650	8-9	8-9	+IR	4	321	1	205	4	404	5	62	4	50	4	147	CDS	CDS
AT1G25520-AT1G68650	9-10	9-10	+IR	7	254	6	184	7	314	1	90	4	83	5	168	CDS	CDS
AT1G25520-AT1G68650	11-12	11-12	+IR	3	200	7	154	10	313	2	112	1	69	12	126	CDS	CDS
AT2G46660-AT3G61880	1-2	1-2	+IR	9	59	1	22	4	102	21	112	8	85	4	140	CDS	CDS
AT3G07780-AT5G48160	2-3	2-3	+IR	13	279	41	438	53	510	54	477	74	816	135	990	CDS	CDS
AT3G02310-AT5G15800	6-7	6-7	-ALTA	0	1	0	0	0	1	32	0	7	0	17	1	CDS	CDS
AT3G12170-AT5G06910	2-3	2-3	+IR	6	18	6	18	9	42	8	124	6	209	7	251	CDS	CDS
AT3G12170-AT5G06910	5-6	5-6	+IR	0	29	0	31	0	53	4	177	2	179	5	275	CDS	CDS
AT5G08570-AT5G63680	2-3	2-3	+IR	53	767	8	735	150	1333	4	161	3	128	11	235	CDS	CDS
AT3G27430-AT5G40580	2-3	2-3	+IR	0	829	0	949	0	1778	9	138	1	178	1	344	CDS	CDS
AT3G27430-AT5G40580	4-5	4-5	+IR	14	519	7	464	20	845	0	222	0	270	0	477	CDS	CDS
AT3G27430-AT5G40580	7-8	7-8	+IR	1	976	1	1016	6	1943	2	273	2	343	1	527	CDS	CDS
AT3G27430-AT5G40580	8-9	8-9	+IR	0	930	0	933	0	1827	5	309	1	342	15	609	CDS	CDS
AT2G46260-AT3G61600	2-3	2-3	+IR	9	155	2	240	3	285	0	463	0	610	0	899	CDS	CDS
AT2G46260-AT3G61600	3-4	3-4	+IR	1	112	4	235	6	246	22	405	13	470	20	692	CDS	CDS
AT2G46260-AT3G61600	4-5	4-5	+IR	3	130	14	222	10	244	8	346	14	346	18	494	CDS	CDS
AT2G46260-AT3G61600	5-6	5-6	+IR	2	134	5	238	4	271	21	358	26	376	40	531	CDS	CDS
AT2G43490-AT3G59570	2-3	2-3	-ALTD	11	28	5	27	13	39	0	26	0	11	0	30	CDS	CDS
AT2G43490-AT3G59570	10-11	11-12	-ALTA	7	41	2	24	9	78	0	18	0	11	0	33	CDS	CDS
AT2G43490-AT3G59570	10-11	11-12	+IR	7	41	1	25	4	83	8	10	4	7	11	22	CDS	CDS
AT3G03120-AT5G17060	1-2	1-2	+IR	13	69	4	61	20	103	0	97	0	49	0	114	CDS	CDS
AT3G03120-AT5G17060	2-3	2-3	+IR	0	68	0	108	0	166	8	125	1	82	5	150	CDS	CDS
AT3G03120-AT5G17060	2-3	2-3	+ALTD	5	63	5	103	6	160	0	133	0	83	0	155	CDS	CDS
AT3G03120-AT5G17060	3-4	3-4	+IR	2	86	1	101	4	183	3	131	1	81	3	145	CDS	CDS
AT3G03120-AT5G17060	5-6	5-6	+IR	13	96	6	81	11	142	0	114	0	70	0	191	CDS	CDS
AT2G19330-AT4G29880	1-2	1-2	+IR	9	0	4	0	3	0	3	0	2	0	3	0	CDS	CDS
AT2G19330-AT4G29880	2-3	2-3	+IR	13	0	23	0	32	0	11	0	9	0	6	1	CDS	CDS
AT3G06330-AT5G18760	4-5	4-5	+IR	12	268	4	317	11	454	0	200	0	192	0	329	CDS	CDS
AT3G06330-AT5G18760	7-8	7-8	+IR	8	224	12	200	49	386	5	153	1	159	7	267	CDS	CDS
AT5G10100-AT5G65140	2-3	2-3	+IR	0	0	0	0	0	0	3	104	2	66	2	128	CDS	CDS
AT5G10100-AT5G65140	8-9	8-9	+IR	0	0	0	0	0	0	13	150	11	85	10	149	CDS	CDS
AT5G10100-AT5G65140	9-10	9-10	+IR	0	0	0	0	0	0	24	121	12	82	20	133	CDS	CDS
AT5G10100-AT5G65140	10-11	10-11	+IR	0	0	0	0	0	0	2	87	9	77	7	144	CDS	CDS
AT1G10640-AT1G60590	1-2	1-2	+IR	0	21	0	27	0	52	7	94	7	70	19	167	CDS	CDS
AT1G10640-AT1G60590	2-3	2-3	+IR	0	35	0	55	0	85	2	110	2	70	5	165	CDS	CDS
AT1G02650-AT4G02100	2-3	2-3	+IR	6	5	7	17	6	15	3	10	1	21	5	45	CDS	CDS
AT1G04340-AT5G43460	1-2	1-2	+IR	4	198	2	189	8	401	7	429	10	673	24	1107	CDS	CDS
AT1G04340-AT5G43460	2-3	2-3	+IR	0	158	0	120	0	274	1	513	3	657	4	998	CDS	CDS
AT1G04340-AT5G43460	4-5	4-5	+IR	0	136	0	107	0	212	10	410	25	492	20	743	CDS	CDS
AT1G17730-AT1G73030	1-2	1-2	+ALTA	3	310	5	362	21	583	0	803	0	897	0	1586	CDS	CDS
AT1G17730-AT1G73030	1-2	1-2	+CREX	1	312	3	364	3	601	0	803	0	897	0	1586	CDS	CDS
AT1G17730-AT1G73030	1-2	1-2	+ALTD	6	307	2	365	4	600	0	803	0	897	0	1586	CDS	CDS
AT1G17730-AT1G73030	1-2	1-2	+IR	79	234	75	292	171	433	1	802	10	887	19	1567	CDS	CDS
AT2G37520-AT3G53680	1-2	1-2	+IR	8	117	4	140	5	180	0	75	0	71	0	134	CDS	CDS
AT2G37520-AT3G53680	1-2	1-2	-ALTA	4	121	6	138	8	177	0	75	0	71	0	134	CDS	CDS
AT2G37520-AT3G53680	2-3	2-3	+IR	0	165	0	194	0	272	4	103	3	99	7	189	CDS	CDS
AT2G37520-AT3G53680	2-3	2-3	-ALTA	0	165	0	194	0	272	9	98	11	91	28	168	CDS	CDS
AT2G37520-AT3G53680	10-11	10-11	-ALTA	2	93	1	147	2	213	0	94	0	96	0	145	CDS	CDS
AT2G37520-AT3G53680	13-14	13-14	+IR	0	123	0	136	0	212	9	101	7	85	15	148	CDS	CDS
AT2G37520-AT3G53680	14-15	14-15	+IR	19	137	13	116	29	220	29	92	33	67	56	138	CDS	CDS
AT2G37520-AT3G53680	15-16	15-16	+IR	0	196	0	154	0	279	18	138	7	119	7	214	CDS	CDS
AT2G37520-AT3G53680	16-17	16-17	+IR	3	203	1	186	2	296	13	178	3	144	23	251	CDS	CDS
AT2G37520-AT3G53680	17-18	17-18	+IR	3	107	17	72	19	131	6	105	5	99	8	169	CDS	CDS
AT2G37520-AT3G53680	18-19	18-19	+IR	2	230	4	162	1	274	1	112	6	102	13	185	CDS	CDS
AT3G10640-AT5G04850	1-2	1-2	+IR	7	126	22	203	40	246	6	162	6	226	12	415	CDS	CDS
AT3G10640-AT5G04850	2-3	2-3	+IR	5	191	4	223	12	268	0	201	0	221	0	356	CDS	CDS
AT3G10640-AT5G04850	3-4	3-4	+IR	2	292	11	331	26	453	0	210	0	255	0	381	CDS	CDS
AT3G10640-AT5G04850	6-7	5-6	+IR	0	162	0	196	0	270	13	148	9	184	16	286	CDS	CDS
AT1G06770-AT2G30580	1-2	1-2	+IR	13	61	9	80	28	108	8	42	2	38	5	65	CDS	CDS
AT1G06770-AT2G30580	3-4	3-4	+ALTD	0	33	0	39	0	93	20	22	8	44	17	54	CDS	CDS
AT1G06770-AT2G30580	6-7	6-7	+IR	6	45	5	38	5	55	17	43	7	46	19	74	CDS	CDS
AT1G66260-AT5G37720	2-3	2-3	+ALTD	8	1413	8	1455	9	2381	5	505	1	509	3	877	CDS	CDS
AT1G66260-AT5G37720	2-3	2-3	+IR	1005	416	1013	450	1647	743	280	230	267	243	460	420	CDS	CDS
AT1G66260-AT5G37720	3-4	3-4	+IR	72	907	140	993	222	1655	18	230	32	247	41	404	CDS	CDS
AT1G66260-AT5G37720	4-5	4-5	+IR	6	929	5	964	6	1571	0	240	0	270	0	542	CDS	CDS
AT3G04810-AT5G28290	3-4	2-3	+IR	0	65	0	44	0	113	1	50	1	35	2	63	CDS	CDS
AT3G04810-AT5G28290	5-6	4-5	+IR	10	89	8	76	13	140	0	40	0	29	0	46	CDS	CDS
AT3G04810-AT5G28290	8-9	7-8	+IR	4	77	3	72	4	136	0	33	0	35	0	54	CDS	CDS
AT3G04810-AT5G28290	9-10	8-9	+IR	13	77	15	58	28	107	0	20	0	32	0	60	CDS	CDS
AT3G04810-AT5G28290	10-11	9-10	+IR	43	38	17	45	39	110	0	26	0	25	0	71	CDS	CDS
AT3G04810-AT5G28290	12-13	11-12	+IR	24	98	11	131	19	233	0	64	0	47	0	92	CDS	CDS
AT3G04810-AT5G28290	14-15	13-14	+IR	3	128	11	104	13	222	0	68	0	53	0	94	CDS	CDS
AT3G04810-AT5G28290	15-16	14-15	+IR	11	110	13	130	17	235	4	39	9	24	8	64	CDS	CDS
AT1G30620-AT2G34850	9-10	5-6	+IR	2	15	1	41	5	61	0	5	0	9	0	16	CDS	CDS
AT3G27170-AT5G40890	1-2	1-2	+ALTD;-ALTA	2	31	2	27	3	55	0	774	0	923	0	1150	CDS	CDS
AT3G27170-AT5G40890	1-2	1-2	+ALTD	0	33	0	29	0	58	50	724	49	874	69	1081	CDS	CDS
AT3G27170-AT5G40890	1-2	1-2	+IR	0	33	0	29	0	58	86	688	86	837	98	1052	CDS	CDS
AT3G27170-AT5G40890	2-3	2-3	+IR	0	49	0	25	0	41	4	737	11	780	6	1056	CDS	CDS
AT3G27170-AT5G40890	3-4	3-4	+IR	0	71	0	49	0	94	5	919	12	1363	15	2032	CDS	CDS
AT3G27170-AT5G40890	4-5	4-5	+IR	0	38	0	41	0	51	2	832	27	1041	26	1331	CDS	CDS
AT3G27170-AT5G40890	4-5	4-5	-ALTD;+ALTA	1	37	1	40	3	48	0	834	0	1068	0	1357	CDS	CDS
AT3G27170-AT5G40890	5-6	5-6	+IR	0	54	0	36	0	68	7	958	26	1197	31	1669	CDS	CDS
AT2G43500-AT3G59580	6-7	4-5	-ALTD	49	0	75	4	98	4	0	19	0	19	0	41	CDS	CDS
AT2G43500-AT3G59580	7-8	5-6	+IR	2	87	9	69	11	100	0	34	0	37	0	57	CDS	CDS
AT2G43500-AT3G59580	7-8	5-6	+ALTA	14	75	13	65	13	98	0	34	0	37	0	57	CDS	CDS
AT3G46590-AT5G59430	3-4	3-4	+IR	12	462	13	506	25	774	0	471	0	606	0	773	CDS	CDS
AT3G46590-AT5G59430	6-7	6-7	+IR	86	337	130	370	148	558	7	473	5	583	10	699	CDS	CDS
AT3G46590-AT5G59430	7-8	7-8	+IR	29	472	81	538	138	838	62	247	67	408	100	500	CDS	CDS
AT3G46590-AT5G59430	8-9	8-9	+IR	25	357	27	369	56	485	19	294	15	394	30	496	CDS	CDS
AT3G46590-AT5G59430	9-10	9-10	+IR	11	405	8	426	19	659	19	338	20	510	46	679	CDS	CDS
AT2G21330-AT4G38970	1-2	1-2	-ALTA	0	10804	0	7297	0	18016	1	44069	1	42678	3	91596	CDS	CDS
AT2G21330-AT4G38970	1-2	1-2	+ALTD	3	10801	1	7296	3	18013	0	44070	0	42679	0	91599	CDS	CDS
AT2G21330-AT4G38970	1-2	1-2	+IR	42	10762	8	7289	31	17985	147	43923	91	42588	382	91217	CDS	CDS
AT2G21330-AT4G38970	1-2	1-2	+ALTA;-ALTD	13	10791	8	7289	20	17996	2	44068	1	42678	5	91594	CDS	CDS
AT2G21330-AT4G38970	2-3	2-3	-ALTA;-ALTD	19	21271	5	14240	8	33121	0	40176	0	31865	0	64439	CDS	CDS
AT2G21330-AT4G38970	2-3	2-3	+IR	272	21018	53	14192	423	32706	22	40154	6	31859	36	64403	CDS	CDS
AT2G21330-AT4G38970	3-4	3-4	+ALTA	0	17279	0	12158	0	28173	2	50648	1	41325	2	82495	CDS	CDS
AT2G21330-AT4G38970	3-4	3-4	+IR	73	17206	11	12147	102	28071	50	50600	10	41316	52	82445	CDS	CDS
AT2G21330-AT4G38970	4-5	4-5	-ALTD	2	16573	2	10959	1	25656	0	48213	0	39497	0	81868	CDS	CDS
AT2G21330-AT4G38970	4-5	4-5	+ALTA;-ALTD	0	16575	0	10961	0	25657	4	48209	8	39489	12	81856	CDS	CDS
AT2G21330-AT4G38970	4-5	4-5	-ALTA	0	16575	0	10961	0	25657	7	48206	9	39488	18	81850	CDS	CDS
AT2G21330-AT4G38970	4-5	4-5	-ALTA;+ALTD	2	16573	10	10951	8	25649	0	48213	0	39497	0	81868	CDS	CDS
AT2G21330-AT4G38970	4-5	4-5	+IR	204	16371	21	10940	259	25398	129	48084	53	39444	149	81719	CDS	CDS
AT2G21330-AT4G38970	5-6	6-7	-ALTD	9	27694	2	18787	13	44861	0	46602	0	36395	0	75067	CDS	CDS
AT2G21330-AT4G38970	5-6	6-7	-ALTA	6	27697	1	18788	8	44866	0	46602	0	36395	0	75067	CDS	CDS
AT2G21330-AT4G38970	5-6	6-7	+IR	387	27316	56	18733	394	44480	245	46357	46	36349	286	74781	CDS	CDS
AT4G27440-AT5G54190	1-2	2-3	-ALTA	5	7963	7	13352	23	22747	0	36	0	68	0	115	CDS	CDS
AT4G27440-AT5G54190	1-2	2-3	+IR	30	7938	29	13330	59	22711	2	34	1	67	4	111	CDS	CDS
AT4G27440-AT5G54190	2-3	3-4	+IR	258	6137	319	7704	563	12069	0	15	0	50	0	83	CDS	CDS
AT4G27440-AT5G54190	3-4	4-5	+IR	504	7732	491	10420	987	17323	0	47	0	67	0	147	CDS	CDS
AT4G27440-AT5G54190	3-4	4-5	-ALTD;+ALTA	4	8232	4	10907	11	18299	0	47	0	67	0	147	CDS	CDS
AT3G50840-AT5G66560	2-3	2-3	+IR	31	153	30	172	35	202	0	0	0	0	0	0	CDS	CDS
AT3G50840-AT5G66560	3-4	3-4	+IR	34	203	16	338	30	440	0	0	0	0	0	0	CDS	CDS
AT2G25340-AT4G32150	1-2	1-2	+IR	0	0	0	0	0	0	29	473	49	649	93	702	CDS	CDS
AT2G25340-AT4G32150	2-3	2-3	+IR	0	0	0	0	0	0	23	418	23	533	46	606	CDS	CDS
AT2G25340-AT4G32150	3-4	3-4	+IR	0	0	0	0	0	0	1	421	4	524	12	662	CDS	CDS
AT2G22190-AT4G39770	2-3	2-3	+IR	11	186	5	70	17	285	4	288	1	219	11	448	CDS	CDS
AT2G22190-AT4G39770	3-4	3-4	+IR	19	232	2	124	15	382	0	374	0	264	0	567	CDS	CDS
AT2G22190-AT4G39770	4-5	4-5	+IR	0	340	0	128	0	441	2	308	3	246	6	510	CDS	CDS
AT2G22190-AT4G39770	4-5	4-5	+ALTD	7	333	1	127	2	439	0	310	0	249	0	516	CDS	CDS
AT2G22190-AT4G39770	5-6	5-6	+ALTA	8	349	1	177	18	506	0	306	0	274	0	448	CDS	CDS
AT2G22190-AT4G39770	5-6	5-6	-ALTA	0	357	0	178	0	524	4	302	5	269	15	433	CDS	CDS
AT2G22190-AT4G39770	5-6	5-6	+IR	55	302	10	168	51	473	6	300	9	265	15	433	CDS	CDS
AT2G22190-AT4G39770	6-7	6-7	+IR	14	307	1	162	18	517	3	208	2	248	11	441	CDS	CDS
AT2G22190-AT4G39770	9-10	9-10	+IR	12	233	1	114	8	305	27	280	6	256	14	546	CDS	CDS
AT2G37900-AT3G53960	1-2	1-2	+IR	0	2	0	7	0	13	9	111	3	262	14	209	CDS	CDS
AT2G37900-AT3G53960	2-3	2-3	+IR	0	0	0	11	0	16	31	131	28	166	47	191	CDS	CDS
AT2G37900-AT3G53960	3-4	3-4	+IR	0	14	0	8	0	27	41	179	62	370	70	292	CDS	CDS
AT3G27300-AT5G40760	15-16	15-16	+IR	2	269	8	309	12	464	0	54	0	64	0	102	CDS	CDS
AT3G06650-AT5G49460	4-5	4-5	+IR	4	494	8	558	12	919	0	207	0	240	0	449	CDS	CDS
AT3G06650-AT5G49460	6-7	6-7	+IR	69	478	28	517	78	887	0	246	0	317	0	479	CDS	CDS
AT3G06650-AT5G49460	8-9	8-9	+IR	1	960	2	1022	4	1850	0	292	0	340	0	600	CDS	CDS
AT3G06650-AT5G49460	11-12	11-12	+IR	0	568	0	686	0	1228	1	242	2	264	4	468	CDS	CDS
AT3G06650-AT5G49460	12-13	12-13	+IR	0	589	0	750	0	1357	4	258	3	352	3	571	CDS	CDS
AT3G06650-AT5G49460	13-14	13-14	+IR	11	759	3	791	18	1527	0	291	0	373	0	670	CDS	CDS
AT3G06650-AT5G49460	14-15	14-15	+IR	0	804	0	859	0	1684	1	304	1	508	9	827	CDS	CDS
AT3G06650-AT5G49460	14-15	14-15	-ALTA	2	802	3	856	5	1679	0	305	0	509	0	836	CDS	CDS
AT3G06650-AT5G49460	15-16	15-16	+IR	0	855	0	974	0	1937	3	340	2	552	7	858	CDS	CDS
AT1G05300-AT2G32270	2-3	2-3	+IR	13	35	4	24	7	46	0	0	0	2	0	0	CDS	CDS
AT3G09370-AT5G02320	6-7	6-7	+IR	3	34	2	46	4	56	0	15	0	7	0	9	CDS	CDS
AT1G53650-AT3G14450	1-2	1-2	+IR	8	91	9	68	10	142	0	32	0	31	0	66	CDS	CDS
AT1G53650-AT3G14450	1-2	1-2	-ALTD	35	64	20	57	50	102	0	32	0	31	0	66	CDS	CDS
AT1G53650-AT3G14450	8-9	7-8	+IR	29	53	13	66	22	108	0	35	0	11	0	39	CDS	CDS
AT1G53650-AT3G14450	9-10	8-9	+IR	6	91	2	83	6	148	0	9	0	7	0	16	CDS	CDS
AT4G25010-AT5G50800	4-5	4-5	+IR	0	0	0	0	0	0	4	209	1	84	6	218	CDS	CDS
AT4G25010-AT5G50800	5-6	5-6	+IR	0	0	0	0	0	0	25	180	4	73	25	220	CDS	CDS
AT3G06130-AT5G19090	3-4	3-4	+IR	8	83	12	138	41	225	0	249	0	249	0	575	CDS	CDS
AT1G15020-AT2G01270	3-4	3-4	+ALTA	2	59	12	38	12	84	10	168	26	142	34	224	CDS	CDS
AT1G15020-AT2G01270	8-9	8-9	+IR	15	100	8	86	20	158	0	262	0	222	0	372	CDS	CDS
AT1G15020-AT2G01270	9-10	9-10	+IR	4	122	3	92	6	181	11	272	2	242	9	453	CDS	CDS
AT1G15020-AT2G01270	10-11	10-11	+IR	10	165	4	170	17	298	0	284	0	296	0	415	CDS	CDS
AT1G15020-AT2G01270	10-11	10-11	-ALTA	1	174	10	164	11	304	0	284	0	296	0	415	CDS	CDS
AT3G25420-AT4G12910	11-12	11-12	+IR	0	0	0	0	0	0	15	194	4	218	25	317	CDS	CDS
AT3G25420-AT4G12910	12-13	12-13	+IR	0	0	0	0	0	0	2	190	3	210	13	369	CDS	CDS
AT3G05630-AT3G16785	8-9	9-10	+IR	0	9	0	9	0	7	5	80	1	79	2	112	CDS	CDS
AT3G05630-AT3G16785	11-12	13-14	+IR	0	15	0	9	0	8	4	153	3	147	4	218	CDS	CDS
AT3G27570-AT5G40510	2-3	2-3	+IR	43	819	18	554	87	1457	0	4	0	3	0	2	CDS	CDS
AT3G27570-AT5G40510	3-4	3-4	+IR	20	675	8	426	22	1177	0	1	0	0	0	1	CDS	CDS
AT3G27570-AT5G40510	4-5	4-5	+IR	18	615	9	355	26	840	0	2	0	0	0	5	CDS	CDS
AT1G32150-AT2G35530	4-5	4-5	+IR	1	48	2	77	3	95	0	42	0	46	0	72	CDS	CDS
AT1G32150-AT2G35530	6-7	6-7	+IR	1	64	7	88	4	135	0	53	0	63	0	107	CDS	CDS
AT1G32150-AT2G35530	11-12	11-12	+IR	1	151	1	122	6	215	1	73	2	81	3	163	CDS	CDS
AT5G07800-AT5G61290	2-3	2-3	+IR	0	20	0	12	0	29	3	8	2	5	1	7	CDS	CDS
AT5G07800-AT5G61290	3-4	3-4	+IR	2	9	1	11	8	23	0	4	0	5	0	11	CDS	CDS
AT5G07800-AT5G61290	4-5	4-5	+IR	3	6	1	14	3	26	0	12	0	4	0	10	CDS	CDS
AT5G07800-AT5G61290	5-6	5-6	+IR	0	12	0	19	0	43	3	21	1	17	6	37	CDS	CDS
AT5G07800-AT5G61290	5-6	5-6	-ALTA	0	12	0	19	0	43	4	20	1	17	4	39	CDS	CDS
AT2G27530-AT5G22440	3-4	3-4	+IR	8	5873	3	3821	20	10908	7	809	1	387	5	1160	CDS	CDS
AT2G27530-AT5G22440	4-5	4-5	-ALTD	14	5046	5	2848	7	8407	0	1091	0	543	0	1571	CDS	CDS
AT2G27530-AT5G22440	4-5	4-5	+ALTD	1	5059	3	2850	9	8405	0	1091	0	543	0	1571	CDS	CDS
AT2G27530-AT5G22440	4-5	4-5	+IR	19	5041	10	2843	26	8388	75	1016	23	520	87	1484	CDS	CDS
AT2G27530-AT5G22440	5-6	5-6	+IR	8	3196	9	1918	32	5420	4	958	2	441	1	1336	CDS	CDS
AT3G11170-AT5G05580	1-2	1-2	+IR	26	2897	19	2444	40	4856	7	621	1	413	3	898	CDS	CDS
AT3G11170-AT5G05580	2-3	2-3	-ALTD	0	2967	0	2624	0	5103	3	788	1	468	1	1128	CDS	CDS
AT3G11170-AT5G05580	2-3	2-3	+IR	1	2966	2	2622	10	5093	42	749	13	456	56	1073	CDS	CDS
AT3G11170-AT5G05580	3-4	3-4	+IR	0	2819	0	2268	0	4303	43	903	13	584	52	1205	CDS	CDS
AT3G11170-AT5G05580	4-5	4-5	-ALTA	0	2364	0	1950	0	3637	4	951	2	584	1	1312	CDS	CDS
AT3G11170-AT5G05580	5-6	5-6	+IR	11	3451	13	2873	26	5523	6	681	3	536	25	1069	CDS	CDS
AT3G11170-AT5G05580	6-7	6-7	+IR	26	3515	15	3027	39	6131	4	976	5	697	11	1374	CDS	CDS
AT3G11170-AT5G05580	7-8	7-8	+IR	7	3946	12	3099	32	6373	16	885	13	679	42	1393	CDS	CDS
AT3G11170-AT5G05580	7-8	7-8	-ALTA	25	3928	14	3097	29	6376	1	900	8	684	10	1425	CDS	CDS
AT4G17190-AT5G47770	3-4	3-4	+IR	4	130	3	130	18	219	5	407	10	357	20	637	CDS	CDS
AT4G17190-AT5G47770	4-5	5-6	+IR	1	118	5	148	10	175	7	553	8	521	12	885	CDS	CDS
AT4G17190-AT5G47770	5-6	6-7	+IR	2	141	4	168	11	253	1	475	6	554	5	878	CDS	CDS
AT4G17190-AT5G47770	6-7	7-8	+IR	1	152	2	135	2	221	3	409	6	493	8	802	CDS	CDS
AT4G17190-AT5G47770	8-9	9-10	+IR	0	179	0	197	0	275	24	433	46	475	59	880	CDS	CDS
AT4G17190-AT5G47770	9-10	10-11	+ALTD	1	126	1	182	1	283	0	464	0	600	0	1020	CDS	CDS
AT4G17190-AT5G47770	9-10	10-11	+IR	3	124	1	182	4	280	6	458	6	594	9	1011	CDS	CDS
AT4G17190-AT5G47770	10-11	11-12	+IR	0	144	0	168	0	314	2	518	14	643	17	1002	CDS	CDS
AT3G10500-AT5G04410	1-2	1-2	+IR	3	26	3	31	9	51	0	180	0	181	0	306	CDS	CDS
AT3G10500-AT5G04410	2-3	2-3	+ALTA	0	33	0	50	0	59	18	195	8	244	19	410	CDS	CDS
AT3G10500-AT5G04410	2-3	2-3	+IR	5	28	5	45	2	57	18	195	22	230	43	386	CDS	CDS
AT3G10500-AT5G04410	3-4	3-4	+IR	0	53	0	62	0	76	2	349	1	349	14	592	CDS	CDS
AT3G10500-AT5G04410	3-4	3-4	-ALTA	0	53	0	62	0	76	3	348	1	349	7	599	CDS	CDS
AT3G01560-AT5G14540	1-2	1-2	-ALTD	4	104	1	122	1	173	0	99	0	152	0	200	CDS	CDS
AT3G01560-AT5G14540	1-2	1-2	+IR	6	102	6	117	20	154	1	98	2	150	3	197	CDS	CDS
AT3G01560-AT5G14540	2-3	2-3	+IR	11	150	5	174	9	254	27	190	26	263	46	384	CDS	CDS
AT1G07420-AT2G29390	2-3	2-3	+IR	25	132	26	180	53	269	8	268	7	251	7	438	CDS	CDS
AT1G07420-AT2G29390	3-4	3-4	+ALTD	0	204	0	221	0	365	23	162	19	201	41	341	CDS	CDS
AT1G07420-AT2G29390	3-4	3-4	+ALTA	41	163	37	184	57	308	0	185	0	220	0	382	CDS	CDS
AT1G07420-AT2G29390	3-4	3-4	+IR	20	184	19	202	32	333	18	167	23	197	40	342	CDS	CDS
AT1G07420-AT2G29390	5-6	5-6	-ALTA	0	159	0	164	0	208	253	2	266	4	412	2	CDS	CDS
AT1G07420-AT2G29390	5-6	5-6	+IR	2	157	1	163	7	201	2	253	3	267	2	412	CDS	CDS
AT4G26620-AT5G55900	1-2	1-2	+IR	19	135	15	142	39	208	3	10	6	40	25	36	CDS	CDS
AT4G26620-AT5G55900	3-4	3-4	+IR	3	126	4	214	15	295	0	22	0	36	0	56	CDS	CDS
AT3G23730-AT4G14130	1-2	1-2	+IR	4	69	3	72	2	128	0	11	0	61	0	37	CDS	CDS
AT3G23730-AT4G14130	2-3	2-3	+IR	4	41	8	57	6	113	0	4	0	46	0	38	CDS	CDS
AT1G16310-AT1G79520	1-2	1-2	+IR	0	25	0	33	0	57	205	145	109	158	218	237	CDS	CDS
AT1G16310-AT1G79520	1-2	1-2	-ALTD	0	25	0	33	0	57	128	222	123	144	174	281	CDS	CDS
AT1G16310-AT1G79520	1-2	1-2	+ALTA;-ALTD	0	25	0	33	0	57	17	333	34	233	63	392	CDS	CDS
AT1G16310-AT1G79520	3-4	3-4	+IR	0	38	0	23	0	57	3	86	5	93	6	127	CDS	CDS
AT1G16310-AT1G79520	4-5	4-5	+IR	0	36	0	18	0	51	6	160	1	110	1	173	CDS	CDS
AT4G25150-AT5G51260	1-2	1-2	+IR	0	26	0	30	0	44	9	95	5	95	13	180	CDS	CDS
AT4G25150-AT5G51260	2-3	2-3	+IR	0	39	0	19	0	48	12	143	11	130	26	261	CDS	CDS
AT3G03060-AT5G16930	6-7	6-7	+IR	0	60	0	15	0	66	1	63	1	35	4	93	CDS	CDS
AT3G02940-AT5G16770	3-4	3-4	+IR	0	0	0	0	0	0	6	0	2	0	5	0	CDS	CDS
AT3G48360-AT5G63160	1-2	1-2	+IR	0	21	0	3603	0	262	4	246	12	3047	9	663	CDS	CDS
AT3G48360-AT5G63160	2-3	2-3	-ALTA	0	45	0	4225	0	510	10	279	49	2810	9	891	CDS	CDS
AT3G48360-AT5G63160	2-3	2-3	+IR	26	19	1563	2662	400	110	89	200	1035	1824	575	325	CDS	CDS
AT3G48360-AT5G63160	3-4	3-4	+ALTA	0	58	0	5404	0	615	1	309	18	3096	2	786	CDS	CDS
AT3G48360-AT5G63160	3-4	3-4	+IR	17	41	1223	4181	408	207	25	285	100	3014	104	684	CDS	CDS
AT3G48360-AT5G63160	4-5	4-5	+IR	41	49	2908	4803	848	239	160	197	1346	2431	1026	513	CDS	CDS
AT1G33260-AT4G10390	1-2	1-2	+IR	14	53	3	13	17	87	0	2	0	4	0	7	CDS	CDS
AT3G45600-AT5G60220	1-2	1-2	+ALTD	3	607	1	694	12	1107	0	5	0	0	0	4	CDS	CDS
AT3G45600-AT5G60220	1-2	1-2	+IR	62	548	26	669	52	1067	0	5	0	0	0	4	CDS	CDS
AT4G26710-AT5G55290	2-3	1-2	+IR	43	1727	30	1685	85	3294	7	356	10	435	14	778	CDS	CDS
AT4G26710-AT5G55290	3-4	2-3	+IR	6	1751	10	1860	20	3393	15	257	3	310	6	492	CDS	CDS
AT2G19120-AT4G30100	2-3	1-2	+ALTD	0	17	0	6	0	17	37	238	38	198	68	254	CDS	CDS
AT2G19120-AT4G30100	2-3	1-2	+ALTA	0	17	0	6	0	17	45	230	20	216	37	285	CDS	CDS
AT2G19120-AT4G30100	2-3	1-2	+CREX	0	17	0	6	0	17	29	246	12	224	30	292	CDS	CDS
AT2G19120-AT4G30100	2-3	1-2	+IR	0	17	0	6	0	17	74	201	40	196	47	275	CDS	CDS
