gene_name	species	junct	class	A_alt	A_nrm	B_alt	B_nrm	C_alt	C_nrm	unique_code
AT3G50530	AT	5-6	IR	2	370	1	342	3	511	na:na:+:IR
AT3G50530	AT	7-8	IR	19	300	7	316	32	440	na:na:+:IR
AT3G50530	AT	8-9	IR	17	311	1	256	7	412	na:na:+:IR
AT3G50530	AT	9-10	IR	8	202	2	186	16	274	na:na:+:IR
AT3G03890	AT	11-12	ALTD	4	369	2	322	1	519	999821:999840:+:ALTD
AT3G03890	AT	3-4	ALTP	2	436	1	461	3	696	1001016:1001088:-:ALTA;1001242:1001264:-:ALTD
AT3G03890	AT	4-5	ALTA	1	392	2	382	1	595	1000862:1000902:-:ALTA
AT3G03890	AT	9-10	IR	4	394	1	311	6	553	na:na:+:IR
AT3G58090	AT	1-2	IR	3	48	5	29	11	93	na:na:+:IR
AT3G58090	AT	2-3	IR	149	0	156	0	298	0	na:na:+:IR
AT3G58090	AT	3-4	ALTA	1	74	3	68	3	152	21512989:21513012:-:ALTA
AT3G58090	AT	3-4	IR	53	22	46	25	109	46	na:na:+:IR
AT3G58090	AT	4-5	IR	96	0	68	0	136	0	na:na:+:IR
AT3G23730	AT	1-2	IR	4	69	3	72	2	128	na:na:+:IR
AT3G23730	AT	2-3	IR	4	41	8	57	6	113	na:na:+:IR
AT5G25250	AT	1-2	IR	14	113	11	135	22	159	na:na:+:IR
AT1G09660	AT	1-2	IR	15	185	12	140	30	318	na:na:+:IR
AT1G09660	AT	3-4	IR	9	217	3	128	6	302	na:na:+:IR
AT1G09660	AT	5-6	IR	9	227	11	155	20	290	na:na:+:IR
AT1G09660	AT	6-7	IR	10	222	7	156	13	300	na:na:+:IR
AT1G09660	AT	7-8	IR	18	355	17	296	54	631	na:na:+:IR
AT1G54270	AT	1-2	IR	15	1275	15	974	21	2761	na:na:+:IR
AT1G54270	AT	4	CRIN	5	10702	5	6786	8	18055	20260936:20261016:-:CRIN
AT1G54270	AT	4-5	IR	8	1337	4	888	10	2096	na:na:+:IR
AT5G61200	AT	1-2	IR	1	33	2	42	3	60	na:na:+:IR
AT5G61200	AT	2-3	IR	1	48	1	81	5	104	na:na:+:IR
AT5G61200	AT	4-5	IR	3	41	4	80	3	102	na:na:+:IR
AT5G01730	AT	1-2	IR	1	16	3	14	5	21	na:na:+:IR
AT5G01730	AT	2-3	IR	2	34	3	18	10	20	na:na:+:IR
AT2G20400	AT	3-4	IR	2	21	1	24	4	40	na:na:+:IR
AT2G20400	AT	4-5	IR	6	31	4	36	8	52	na:na:+:IR
AT2G20400	AT	5-6	ALTA	9	41	6	34	9	54	8801118:8801120:+:ALTA
AT2G20400	AT	5-6	IR	12	38	4	36	17	46	na:na:+:IR
AT5G06700	AT	1-2	IR	4	510	4	835	2	952	na:na:+:IR
AT5G06700	AT	4-5	IR	4	485	7	730	8	834	na:na:+:IR
AT3G57160	AT	1-2	IR	1	50	2	28	1	59	na:na:+:IR
AT5G64520	AT	1-2	ALTA	7	23	6	51	10	81	25788539:25788546:+:ALTA
AT5G64520	AT	1-2	IR	7	23	10	47	15	76	na:na:+:IR
AT5G64520	AT	2-3	ALTA	11	11	15	29	22	52	25788796:25788813:+:ALTA
AT5G64520	AT	2-3	IR	1	21	2	42	8	66	na:na:+:IR
AT5G64520	AT	8	CRIN	3	170	1	254	2	436	25790091:25790175:-:CRIN
AT1G31940	AT	1-2	IR	23	281	7	371	22	576	na:na:+:IR
AT1G31940	AT	2-3	IR	1	279	7	296	15	426	na:na:+:IR
AT4G17620	AT	10-11	IR	1	157	2	171	2	238	na:na:+:IR
AT4G17620	AT	11-12	IR	5	98	10	113	13	127	na:na:+:IR
AT4G17620	AT	5-6	IR	1	88	1	112	3	159	na:na:+:IR
AT4G17620	AT	7-8	IR	17	141	3	155	3	226	na:na:+:IR
AT4G17620	AT	8-9	IR	9	163	12	184	33	274	na:na:+:IR
AT3G45860	AT	1-2	IR	36	31	26	29	51	45	na:na:+:IR
AT3G45860	AT	2-3	IR	9	79	9	54	14	113	na:na:+:IR
AT3G45860	AT	3-4	IR	2	83	3	75	8	108	na:na:+:IR
AT3G45860	AT	4-5	ALTD	5	96	5	85	3	151	16864380:16864384:+:ALTD
AT3G45860	AT	4-5	ALTD	8	93	11	79	2	152	16864385:16864475:-:ALTD
AT3G45860	AT	4-5	IR	30	71	9	81	24	130	na:na:+:IR
AT3G45860	AT	5-6	IR	9	54	2	21	15	46	na:na:+:IR
AT3G45860	AT	6-7	IR	4	68	5	65	14	83	na:na:+:IR
AT1G79720	AT	1-2	IR	21	228	21	257	34	493	na:na:+:IR
AT4G27760	AT	2-3	ALTD	2	220	1	220	6	376	13844593:13844618:-:ALTD
AT4G27760	AT	3-4	IR	11	177	3	171	14	290	na:na:+:IR
AT4G27760	AT	4-5	IR	23	164	17	143	33	215	na:na:+:IR
AT4G27760	AT	5-6	ALTP	7	239	7	234	12	323	13845913:13845995:+:ALTD;13846034:13846079:-:ALTA
AT4G27760	AT	5-6	ALTA	10	236	6	235	6	329	13845990:13846033:+:ALTA
AT4G27760	AT	5-6	ALTA	3	243	1	240	2	333	13846034:13846073:-:ALTA
AT4G27760	AT	5-6	IR	32	214	32	209	41	294	na:na:+:IR
AT4G27760	AT	6-7	IR	15	211	5	194	5	310	na:na:+:IR
AT4G26410	AT	2-3	IR	5	389	1	315	3	708	na:na:+:IR
AT3G05990	AT	1-2	IR	5	103	7	111	11	173	na:na:+:IR
AT3G05990	AT	7-8	IR	2	83	4	91	6	168	na:na:+:IR
AT5G26751	AT	1-2	IR	30	216	19	267	17	437	na:na:+:IR
AT5G26751	AT	11-12	IR	8	300	10	368	11	521	na:na:+:IR
AT5G26751	AT	12-13	IR	1	309	4	338	9	555	na:na:+:IR
AT5G26751	AT	8	CRIN	6	3295	4	3843	4	5349	9400534:9400604:-:CRIN
AT5G26751	AT	9-10	IR	2	377	1	398	2	586	na:na:+:IR
AT5G53045	AT	1-2	IR	2	316	7	222	3	473	na:na:+:IR
AT5G53045	AT	2-3	ALTA	2	193	1	146	8	374	21508900:21508905:-:ALTA
AT1G75720	AT	1-2	ALTP	7	0	3	3	7	5	28435104:28435114:-:ALTA;28435192:28435195:-:ALTD
AT4G13010	AT	1-2	IR	78	1403	58	1519	230	2668	na:na:+:IR
AT4G13010	AT	2-3	IR	13	1519	7	1505	24	2580	na:na:+:IR
AT4G13010	AT	3-4	IR	7	1345	3	1312	24	2238	na:na:+:IR
AT1G70530	AT	4-5	ALTA	1	129	1	253	1	285	26589910:26589940:-:ALTA
AT1G70530	AT	5-6	IR	4	158	2	278	15	265	na:na:+:IR
AT1G70530	AT	6-7	IR	7	130	8	179	18	192	na:na:+:IR
AT1G70530	AT	7-8	IR	3	124	12	231	25	195	na:na:+:IR
AT5G53048	AT	1-2	IR	16	13	18	2	23	6	na:na:+:IR
AT5G61970	AT	11-12	IR	1	165	2	175	9	274	na:na:+:IR
AT5G61970	AT	13-14	IR	2	295	3	196	10	442	na:na:+:IR
AT5G61970	AT	5-6	IR	2	201	3	185	6	380	na:na:+:IR
AT5G61970	AT	7-8	IR	6	153	2	111	7	226	na:na:+:IR
AT5G61970	AT	8-9	ALTA	1	244	2	153	4	291	24891076:24891080:-:ALTA
AT5G61970	AT	9-10	IR	5	243	4	157	9	328	na:na:+:IR
AT2G38110	AT	1-2	IR	6	7	1	8	5	9	na:na:+:IR
AT3G14140	AT	4-5	IR	1	0	3	0	5	0	na:na:+:IR
AT2G36420	AT	1-2	IR	57	49	50	43	82	64	na:na:+:IR
AT4G24120	AT	1-2	IR	12	81	2	39	12	79	na:na:+:IR
AT2G33490	AT	2-3	ALTA	4	30	7	27	8	58	14184408:14184424:+:ALTA
AT2G33490	AT	2-3	IR	2	32	3	31	5	61	na:na:+:IR
AT2G33490	AT	4-5	ALTD	5	40	4	48	3	62	14184728:14184745:+:ALTD
AT2G33490	AT	4-5	IR	3	42	2	50	2	63	na:na:+:IR
AT2G33490	AT	6-7	IR	8	73	13	73	10	95	na:na:+:IR
AT2G33490	AT	8-9	IR	13	85	5	60	13	118	na:na:+:IR
AT2G26930	AT	1-2	ALTA	2	483	14	449	12	1099	11493858:11493861:-:ALTA
AT2G26930	AT	1-2	IR	6	479	5	458	12	1099	na:na:+:IR
AT2G26930	AT	2-3	IR	6	503	5	429	9	834	na:na:+:IR
AT2G26930	AT	4-5	IR	3	511	3	363	5	735	na:na:+:IR
AT2G26930	AT	6-7	ALTD	32	285	16	278	46	483	11493003:11493007:-:ALTD
AT2G26930	AT	6-7	IR	1	316	1	293	4	525	na:na:+:IR
AT2G26930	AT	7-8	ALTA	4	639	2	554	4	1077	11492651:11492668:-:ALTA
AT2G26930	AT	7-8	ALTA	15	628	12	544	24	1057	11492656:11492668:-:ALTA
AT2G26930	AT	7-8	IR	15	628	18	538	27	1054	na:na:+:IR
AT2G26930	AT	8-9	IR	34	547	44	498	83	954	na:na:+:IR
AT2G26930	AT	9-10	IR	35	280	9	249	34	492	na:na:+:IR
AT3G05040	AT	15-16	IR	4	63	3	45	12	104	na:na:+:IR
AT3G05040	AT	17-18	IR	3	73	1	45	2	118	na:na:+:IR
AT3G05040	AT	20-21	ALTA	2	45	1	48	2	85	1401825:1401827:+:ALTA
AT3G05040	AT	20-21	IR	1	46	2	47	3	84	na:na:+:IR
AT4G14548	AT	1	CRIN	2	185	6	130	5	245	8347125:8347291:-:CRIN
AT5G66310	AT	1-2	IR	6	37	1	20	5	40	na:na:+:IR
AT5G66310	AT	11-12	IR	3	76	1	53	4	85	na:na:+:IR
AT5G66310	AT	2-3	ALTA	38	9	27	1	36	16	26490317:26490318:+:ALTA
AT5G66310	AT	3-4	ALTA	3	18	2	24	6	54	26490002:26490005:-:ALTA
AT1G72970	AT	1-2	IR	1	102	1	165	10	422	na:na:+:IR
AT1G72970	AT	2-3	IR	6	167	5	167	8	394	na:na:+:IR
AT1G72970	AT	4-5	IR	3	218	1	304	5	608	na:na:+:IR
AT1G72970	AT	5-6	IR	7	349	3	364	6	850	na:na:+:IR
AT5G11240	AT	4-5	IR	4	122	3	53	4	186	na:na:+:IR
AT5G11240	AT	7-8	IR	13	128	7	43	7	127	na:na:+:IR
AT3G23990	AT	13-14	IR	5	420	1	210	3	624	na:na:+:IR
AT3G23990	AT	15-16	IR	3	489	1	249	5	709	na:na:+:IR
AT3G23990	AT	4-5	IR	1	473	1	300	2	825	na:na:+:IR
AT3G19270	AT	1-2	IR	2	39	3	16	3	51	na:na:+:IR
AT3G19270	AT	2-3	IR	2	44	1	25	1	63	na:na:+:IR
AT3G19270	AT	8-9	IR	3	29	2	20	12	25	na:na:+:IR
AT3G03460	AT	1-2	IR	5	27	6	15	7	41	na:na:+:IR
AT5G54810	AT	1-2	ALTA	1	1055	1	1095	2	1854	22266086:22266146:-:ALTA
AT5G54810	AT	1-2	IR	32	1024	27	1069	123	1733	na:na:+:IR
AT5G54810	AT	2-3	IR	22	1212	13	1370	49	2356	na:na:+:IR
AT5G54810	AT	3-4	IR	39	1487	13	1429	59	2443	na:na:+:IR
AT5G54810	AT	4-5	IR	28	1311	19	1434	88	2366	na:na:+:IR
AT5G24840	AT	1-2	IR	10	153	6	104	10	302	na:na:+:IR
AT3G59250	AT	1-2	IR	124	0	44	0	130	5	na:na:+:IR
AT3G59250	AT	3-4	IR	1	29	1	18	10	27	na:na:+:IR
AT2G16600	AT	1	CRIN	13	18653	6	18384	9	34169	7201013:7201090:-:CRIN
AT2G39390	AT	2-3	ALTD	4	1678	2	1025	9	3521	16451524:16451548:-:ALTD
AT2G39390	AT	2-3	IR	24	1658	15	1012	22	3508	na:na:+:IR
AT2G39390	AT	3-4	IR	15	1796	8	977	15	3232	na:na:+:IR
AT2G41090	AT	1-2	IR	104	6093	25	3880	104	8082	na:na:+:IR
AT2G41090	AT	2-3	ALTA	8	3371	4	1758	4	3544	17136480:17136487:-:ALTA
AT2G41090	AT	2-3	IR	333	3046	72	1690	269	3279	na:na:+:IR
AT4G33400	AT	1-2	IR	1	74	2	57	10	117	na:na:+:IR
AT1G72390	AT	1-2	ALTP	1	45	1	39	2	82	27245319:27245326:-:ALTD;27245417:27245424:+:ALTA
AT1G72390	AT	11-12	IR	7	126	7	99	13	167	na:na:+:IR
AT1G72390	AT	12-13	IR	1	139	2	89	3	179	na:na:+:IR
AT1G72390	AT	9-10	IR	5	70	1	49	3	88	na:na:+:IR
AT1G62040	AT	2-3	ALTD	340	491	461	507	917	824	22932890:22933085:+:ALTD
AT1G62040	AT	2-3	IR	491	340	507	461	824	917	na:na:+:IR
AT1G62040	AT	3-4	ALTA	4	319	1	386	6	766	22933406:22933452:+:ALTA
AT1G62040	AT	3-4	IR	5	318	6	381	7	765	na:na:+:IR
AT1G62040	AT	4-5	IR	25	378	11	410	30	690	na:na:+:IR
AT1G62040	AT	5-6	IR	17	284	9	349	28	502	na:na:+:IR
AT1G56310	AT	1-2	IR	1	29	2	20	3	54	na:na:+:IR
AT1G56310	AT	2-3	IR	8	69	2	93	3	138	na:na:+:IR
AT2G47000	AT	1-2	IR	1	8	2	6	1	7	na:na:+:IR
AT2G47000	AT	10-11	IR	8	14	11	24	18	29	na:na:+:IR
AT2G47000	AT	11-12	ALTP	13	32	15	37	21	55	19310362:19310370:+:ALTA;19310457:19310465:-:ALTD
AT2G47000	AT	11-12	IR	4	41	7	45	17	59	na:na:+:IR
AT2G47000	AT	8-9	IR	2	9	4	12	5	17	na:na:+:IR
AT2G47000	AT	9-10	IR	12	19	24	9	26	13	na:na:+:IR
AT3G08730	AT	1-2	IR	33	313	20	146	40	366	na:na:+:IR
AT3G08730	AT	4-5	IR	11	836	2	406	23	1091	na:na:+:IR
AT3G08730	AT	5-6	IR	17	779	3	423	26	1095	na:na:+:IR
AT4G03080	AT	1	CRIN	3	5709	1	5086	3	9075	1365214:1365336:-:CRIN
AT4G03080	AT	15-16	IR	9	535	4	444	7	831	na:na:+:IR
AT4G03080	AT	17-18	IR	1	288	5	207	3	352	na:na:+:IR
AT4G03080	AT	18-19	IR	2	335	8	227	11	434	na:na:+:IR
AT4G03080	AT	19-20	IR	6	418	1	339	7	605	na:na:+:IR
AT4G03080	AT	20-21	IR	1	320	4	309	2	499	na:na:+:IR
AT4G03080	AT	8-9	IR	4	315	13	357	11	617	na:na:+:IR
AT3G60510	AT	10	CRIN	67	461	63	523	104	832	22357763:22357837:-:CRIN
AT3G60510	AT	10-10	CREX	16	512	12	574	13	923	22357763:22357837:+:CREX
AT3G60510	AT	10-11	ALTA	2	73	6	59	11	87	22357570:22357592:+:ALTA
AT3G60510	AT	10-11	IR	5	70	6	59	9	89	na:na:+:IR
AT3G60510	AT	6-7	IR	6	54	9	44	13	50	na:na:+:IR
AT3G60510	AT	7-8	IR	7	32	20	24	27	54	na:na:+:IR
AT3G60510	AT	8-9	ALTD	3	69	3	65	7	85	22358201:22358205:-:ALTD
AT1G72020	AT	1-2	IR	27	2484	28	2116	45	4916	na:na:+:IR
AT1G77610	AT	1-2	IR	4	243	1	155	3	376	na:na:+:IR
AT1G77610	AT	3-4	IR	14	199	5	164	28	355	na:na:+:IR
AT4G08500	AT	1	CRIN	1	1610	1	1966	2	3250	5407055:5407122:-:CRIN
AT4G08500	AT	2-3	IR	11	109	2	127	14	186	na:na:+:IR
AT4G08500	AT	5-6	IR	2	98	5	108	2	148	na:na:+:IR
AT4G08500	AT	8-9	ALTA	2	69	1	101	3	170	5404149:5404151:+:ALTA
AT4G08500	AT	8-9	IR	7	64	15	87	22	151	na:na:+:IR
AT5G55070	AT	1-2	IR	2	731	1	411	4	1185	na:na:+:IR
AT5G55070	AT	11-12	IR	8	624	8	323	8	952	na:na:+:IR
AT5G55070	AT	13-14	IR	2	730	2	312	1	957	na:na:+:IR
AT5G55070	AT	14-15	IR	6	756	6	374	26	1108	na:na:+:IR
AT5G55070	AT	4-5	IR	7	511	1	255	1	672	na:na:+:IR
AT2G36160	AT	1-2	IR	9	3668	11	2257	18	6211	na:na:+:IR
AT2G36160	AT	2-3	IR	27	3133	10	2188	51	6471	na:na:+:IR
AT2G36160	AT	3-4	IR	42	2735	15	1839	63	5563	na:na:+:IR
AT2G36160	AT	4-5	ALTA	2	2642	6	1756	10	4858	15170873:15170902:-:ALTA
AT2G36160	AT	5-6	IR	1	2145	1	1279	13	3473	na:na:+:IR
AT1G44760	AT	1-2	IR	22	97	23	125	34	244	na:na:+:IR
AT1G44760	AT	2-3	IR	4	97	10	125	11	231	na:na:+:IR
AT1G35350	AT	1	CRIN	1	1781	1	1816	2	2653	12984215:12984302:-:CRIN
AT1G35350	AT	1-2	ALTA	7	78	12	126	9	150	12983969:12983971:-:ALTA
AT1G35350	AT	1-2	IR	20	65	59	79	51	108	na:na:+:IR
AT1G35350	AT	10-11	IR	3	115	3	166	4	241	na:na:+:IR
AT1G35350	AT	11-12	IR	5	211	7	215	8	352	na:na:+:IR
AT1G35350	AT	2-3	ALTA	2	172	1	129	7	238	12983593:12983609:-:ALTA
AT1G35350	AT	3-4	ALTD	2	152	2	117	2	203	12983561:12983570:-:ALTD
AT1G35350	AT	3-4	IR	3	151	1	118	2	203	na:na:+:IR
AT1G35350	AT	5-6	IR	10	185	11	140	14	198	na:na:+:IR
AT1G35350	AT	6-7	IR	2	113	5	101	10	145	na:na:+:IR
AT1G35350	AT	7-8	ALTA	1	117	3	92	1	161	12982427:12982444:+:ALTA
AT1G35350	AT	7-8	IR	6	112	2	93	8	154	na:na:+:IR
AT1G35350	AT	8-9	IR	5	112	8	114	21	160	na:na:+:IR
AT1G35350	AT	9-10	IR	2	155	14	147	10	231	na:na:+:IR
AT4G37400	AT	1-2	IR	9	48	4	25	15	64	na:na:+:IR
AT2G02470	AT	1-2	IR	7	185	6	172	10	304	na:na:+:IR
AT2G02470	AT	3-4	IR	2	173	9	185	18	241	na:na:+:IR
AT2G02470	AT	4-5	ALTA	60	113	79	103	141	198	654337:654363:-:ALTA
AT2G02470	AT	4-5	IR	47	126	28	154	47	292	na:na:+:IR
AT5G48830	AT	1-2	IR	6	241	1	196	8	551	na:na:+:IR
AT5G48830	AT	3-4	ALTD	26	279	25	138	44	402	19802112:19802115:-:ALTD
AT5G48830	AT	3-4	IR	6	299	1	162	2	444	na:na:+:IR
AT5G48830	AT	4-5	ALTA	1	307	3	182	5	384	19801415:19801686:+:ALTA
AT5G48830	AT	4-5	IR	18	290	3	182	11	378	na:na:+:IR
AT5G48830	AT	5-6	ALTA	273	13	139	15	333	20	19801192:19801212:-:ALTA
AT5G48830	AT	5-6	ALTA	2	284	9	145	12	341	19801206:19801212:-:ALTA
AT5G48830	AT	5-6	IR	11	275	6	148	8	345	na:na:+:IR
AT5G48830	AT	7-8	ALTA	212	5	158	2	393	14	19800435:19800437:+:ALTA
AT5G48830	AT	7-8	IR	5	212	2	158	12	395	na:na:+:IR
AT3G05500	AT	1-2	IR	10	372	7	340	27	678	na:na:+:IR
AT3G05500	AT	2-3	IR	12	330	8	244	30	501	na:na:+:IR
AT2G46060	AT	1-2	IR	1	58	3	58	7	150	na:na:+:IR
AT2G46060	AT	13-14	IR	3	80	5	79	1	147	na:na:+:IR
AT2G46060	AT	5-6	IR	5	59	2	40	11	125	na:na:+:IR
AT2G46060	AT	6-7	ALTA	1	71	1	73	5	149	18943315:18943318:-:ALTA
AT2G46060	AT	7-8	ALTA	4	91	6	84	7	138	18942662:18942679:-:ALTA
AT1G10522	AT	1-2	IR	36	11	32	7	76	17	na:na:+:IR
AT1G10522	AT	2-3	IR	5	799	8	454	17	1259	na:na:+:IR
AT1G10522	AT	3-4	IR	23	759	11	451	25	1117	na:na:+:IR
AT4G02020	AT	1-2	ALTA	15	124	15	133	53	245	886980:886982:-:ALTA
AT4G02020	AT	1-2	IR	10	129	6	142	5	293	na:na:+:IR
AT4G02020	AT	10-11	IR	4	159	7	167	4	281	na:na:+:IR
AT4G02020	AT	11-12	IR	2	227	1	173	2	282	na:na:+:IR
AT4G02020	AT	15-16	IR	42	128	12	170	24	213	na:na:+:IR
AT4G02020	AT	16-17	IR	32	135	30	178	64	250	na:na:+:IR
AT4G02020	AT	4-5	IR	14	123	14	146	9	226	na:na:+:IR
AT4G02020	AT	7-8	IR	5	65	1	119	2	167	na:na:+:IR
AT4G02020	AT	8-9	IR	4	103	7	132	5	172	na:na:+:IR
AT4G02020	AT	9-10	IR	2	100	3	121	3	182	na:na:+:IR
AT2G43650	AT	10-11	ALTA	4	134	1	107	5	281	18101862:18101864:+:ALTA
AT2G43650	AT	15-16	IR	3	169	1	121	6	356	na:na:+:IR
AT2G43650	AT	4-5	IR	5	214	4	175	3	506	na:na:+:IR
AT2G43650	AT	9-10	IR	5	112	6	79	3	209	na:na:+:IR
AT5G03100	AT	1-2	IR	1	22	2	16	2	44	na:na:+:IR
AT5G03100	AT	2-3	IR	10	32	1	24	4	62	na:na:+:IR
AT5G52760	AT	1-2	IR	14	25	5	32	20	49	na:na:+:IR
AT5G52760	AT	2-3	IR	7	46	3	77	9	87	na:na:+:IR
AT1G09500	AT	1-2	ALTA	4	38	11	59	2	57	3067341:3067343:-:ALTA
AT1G09500	AT	1-2	IR	7	35	11	59	17	42	na:na:+:IR
AT1G10290	AT	11-12	ALTA	1	201	1	216	1	342	3374181:3374187:-:ALTA
AT1G10290	AT	11-12	IR	11	191	3	214	10	333	na:na:+:IR
AT1G10290	AT	14-15	IR	1	330	2	320	3	573	na:na:+:IR
AT1G10290	AT	15-16	IR	3	476	2	511	7	911	na:na:+:IR
AT1G10290	AT	17-18	IR	8	364	2	359	3	573	na:na:+:IR
AT1G10290	AT	18-19	IR	3	441	8	439	6	642	na:na:+:IR
AT1G10290	AT	19-20	IR	8	339	7	293	15	519	na:na:+:IR
AT1G10290	AT	20-21	IR	1	285	1	299	3	460	na:na:+:IR
AT1G10290	AT	4-5	IR	5	240	1	285	5	415	na:na:+:IR
AT5G59000	AT	2-3	IR	11	99	3	90	10	149	na:na:+:IR
AT5G16480	AT	1-2	ALTA	3	95	16	130	11	144	5382208:5382259:+:ALTA
AT5G16480	AT	1-2	IR	38	60	62	84	42	113	na:na:+:IR
AT5G16480	AT	2-3	IR	11	64	36	69	57	80	na:na:+:IR
AT5G16480	AT	3-4	IR	2	57	14	70	26	76	na:na:+:IR
AT5G16480	AT	4-5	IR	5	66	7	90	13	98	na:na:+:IR
AT5G16480	AT	2-4	SKIP	3	388	17	577	14	641	2-4
AT5G08139	AT	1	CRIN	12	668	8	891	23	1183	2617312:2617417:-:CRIN
AT2G41870	AT	1-2	ALTA	1	1182	1	1055	2	2300	17471320:17471323:+:ALTA
AT2G41870	AT	1-2	ALTA	3	1180	9	1047	8	2294	17471320:17471438:+:ALTA
AT2G41870	AT	1-2	CREX	6	1177	1	1055	7	2295	17471405:17471438:+:CREX
AT2G41870	AT	1-2	IR	218	965	105	951	310	1992	na:na:+:IR
AT4G33380	AT	1-2	IR	8	702	6	577	18	1279	na:na:+:IR
AT4G33380	AT	2-3	ALTA	16	647	11	448	22	1041	16072481:16072486:-:ALTA
AT4G33380	AT	2-3	IR	5	658	1	458	6	1057	na:na:+:IR
AT4G33380	AT	3-4	IR	16	842	9	628	21	1376	na:na:+:IR
AT4G33380	AT	5-6	IR	17	750	12	546	13	1222	na:na:+:IR
AT4G33380	AT	6-7	IR	6	418	8	323	20	626	na:na:+:IR
AT5G13500	AT	1-2	ALTD	15	120	5	151	13	273	4338313:4338361:-:ALTD
AT5G13500	AT	5-6	IR	9	70	12	69	23	107	na:na:+:IR
AT5G13500	AT	8-9	IR	2	96	7	78	7	159	na:na:+:IR
AT4G38650	AT	3-4	IR	4	0	15	4	9	10	na:na:+:IR
AT4G38650	AT	4-5	IR	4	12	13	5	9	18	na:na:+:IR
AT4G38650	AT	5-6	IR	9	3	11	6	15	19	na:na:+:IR
AT4G38650	AT	6-7	IR	6	4	12	7	20	11	na:na:+:IR
AT4G38650	AT	7-8	IR	6	19	4	13	13	12	na:na:+:IR
AT4G39520	AT	2-3	IR	8	385	7	391	5	759	na:na:+:IR
AT4G39520	AT	3-4	IR	7	438	11	383	17	815	na:na:+:IR
AT4G39520	AT	5-6	IR	7	492	3	488	7	1052	na:na:+:IR
AT5G19760	AT	1-2	ALTA	1	4149	1	3786	1	8202	6681304:6681324:-:ALTA
AT5G19760	AT	1-2	IR	13	4137	4	3783	22	8181	na:na:+:IR
AT5G19760	AT	2-3	IR	5	4036	7	3429	8	6737	na:na:+:IR
AT5G19760	AT	4-5	IR	21	2857	9	2393	17	4479	na:na:+:IR
AT5G19760	AT	4-6	SKAD	1	26592	1	21737	1	45256	6679624:6679647:-:ALTA;6680468:6680503:-:ALTD
AT5G43920	AT	1	CRIN	11	2017	3	1519	20	3016	17672776:17673269:-:CRIN
AT5G43920	AT	1	CRIN	12	2016	8	1514	9	3027	17672776:17673606:-:CRIN
AT5G43920	AT	2-3	IR	1	131	1	91	4	190	na:na:+:IR
AT5G43920	AT	3	CRIN	45	1983	18	1504	59	2977	17674808:17674901:-:CRIN
AT5G43920	AT	3-4	IR	7	187	6	103	2	249	na:na:+:IR
AT5G43920	AT	4	CRIN	6	2022	3	1519	8	3028	17675211:17675304:-:CRIN
AT5G15680	AT	1-2	IR	1	31	4	44	1	89	na:na:+:IR
AT5G15680	AT	17-18	IR	2	67	1	78	6	138	na:na:+:IR
AT5G11900	AT	2-3	IR	5	383	7	273	2	561	na:na:+:IR
AT5G11900	AT	5-6	IR	1	429	2	306	8	676	na:na:+:IR
AT5G55920	AT	15-16	IR	3	354	1	151	2	611	na:na:+:IR
AT2G42520	AT	1-2	IR	5	102	2	77	3	159	na:na:+:IR
AT2G42520	AT	4-5	IR	1	339	1	183	4	390	na:na:+:IR
AT2G42520	AT	5-6	ALTD	6	236	9	184	7	382	17707708:17707712:-:ALTD
AT2G42520	AT	6-7	IR	2	284	5	241	17	490	na:na:+:IR
AT5G51230	AT	1-2	IR	2	110	3	91	4	215	na:na:+:IR
AT5G51230	AT	12-13	IR	4	89	3	96	1	150	na:na:+:IR
AT5G51230	AT	13-14	IR	6	102	8	118	20	203	na:na:+:IR
AT5G51230	AT	15-16	ALTA	3	97	3	109	5	220	20827584:20827598:-:ALTA
AT5G51230	AT	16-17	ALTD	1	208	6	159	10	308	20827621:20827684:-:ALTD
AT5G51230	AT	16-17	IR	12	197	7	158	25	293	na:na:+:IR
AT5G51230	AT	17-18	IR	16	146	8	171	19	258	na:na:+:IR
AT5G51230	AT	18-19	IR	7	145	3	160	17	290	na:na:+:IR
AT5G51230	AT	19-20	IR	1	283	1	252	3	496	na:na:+:IR
AT5G51230	AT	21-22	IR	3	136	1	122	2	175	na:na:+:IR
AT5G51230	AT	5-6	ALTA	3	78	5	108	1	143	20825142:20825151:-:ALTA
AT4G01590	AT	1	CRIN	15	2090	10	1599	18	3479	690247:690384:-:CRIN
AT4G01590	AT	1-2	ALTA	2	373	1	308	1	581	689874:689906:-:ALTA
AT4G01590	AT	1-2	IR	5	370	4	305	14	568	na:na:+:IR
AT4G01590	AT	3-4	IR	9	449	4	381	9	819	na:na:+:IR
AT4G01590	AT	4-5	IR	1	460	2	424	4	891	na:na:+:IR
AT4G01590	AT	5-6	IR	4	338	4	292	3	612	na:na:+:IR
AT4G01590	AT	6-7	ALTA	49	224	43	182	97	390	689094:689096:-:ALTA
AT4G19510	AT	2	CRIN	2	3968	8	3886	7	5936	10634899:10634979:-:CRIN
AT4G19510	AT	2-3	IR	344	20	315	8	470	28	na:na:+:IR
AT4G19510	AT	3-4	IR	8	147	2	166	4	247	na:na:+:IR
AT4G19510	AT	4-5	IR	2	123	4	130	2	217	na:na:+:IR
AT4G19510	AT	5	CRIN	14	3956	16	3878	31	5912	10636622:10636701:-:CRIN
